Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4YMqbFcDIFiCBd02PzUBcM,"5BcAKTbp20cv7tC5VqPFoC,56xTxG4nQMAs1GW9kvn0uA","Thrift Shop (feat. Wanz)","The Heist","Macklemore & Ryan Lewis,Wanz",2012-10-10,235613,1,spotify:user:wickeddreamer96,2019-07-15T22:38:30Z,"pop rap,seattle hip hop",0.781,0.526,6,-6.985,0,0.293,0.0619,0,0.0457,0.662,94.992,4
0n4bITAu0Y0nigrz3MFJMb,"0ZrpamOxcZybMHGg1AYtHP,4OBJLual30L7gRl5UkeRcT,2RdwBSPQiwcmiDo9kixcl8","Blurred Lines","Blurred Lines (Deluxe)","Robin Thicke,T.I.,Pharrell Williams",2013-01-01,263826,78,spotify:user:wickeddreamer96,2023-03-20T22:08:58Z,"dance pop,neo soul,pop rap,r&b,urban contemporary,atl hip hop,dirty south rap,gangster rap,hip hop,rap,southern hip hop,trap,pop",0.853,0.599,7,-4.756,1,0.0411,0.00334,0.00000793,0.0759,0.843,119.993,4
4G8gkOterJn0Ywt6uhqbhp,"53XhwfbYqKCa1cC15pYq2q","Radioactive","Night Visions","Imagine Dragons",2012-09-04,186813,75,spotify:user:wickeddreamer96,2019-07-15T22:39:45Z,"modern rock,pop,rock",0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245,4
01XFgRZfZI7oBagNf1Loml,"25fqWEebq6PoiGQIHIrdtv","Harlem Shake","Harlem Shake","Baauer",2013-02-12,196664,58,spotify:user:wickeddreamer96,2019-07-15T22:39:56Z,"edm,electro house,electronic trap",0.452,0.794,0,-5.151,1,0.0483,0.0111,0.00182,0.416,0.282,137.825,4
3BE0getU08uXas8ZjULABA,"5BcAKTbp20cv7tC5VqPFoC,4e0nWw2r4BoQSKPQ2zpU13","Can't Hold Us (feat. Ray Dalton)","The Heist","Macklemore & Ryan Lewis,Ray Dalton",2012-10-10,258431,0,spotify:user:wickeddreamer96,2019-07-15T22:40:24Z,"pop rap,seattle hip hop,pop dance",0.634,0.927,2,-4.468,1,0.0838,0.027,0,0.0986,0.88,146.094,4
6ToFxXRBtl5TJFEyIoYK3f,"31TPClRtHm23RisEBtV3X7","Mirrors - Radio Edit","Mirrors (Radio Edit)","Justin Timberlake",2013-02-11,277306,66,spotify:user:wickeddreamer96,2019-07-15T22:40:53Z,"dance pop,pop",0.578,0.6,8,-5.7,1,0.0455,0.144,0,0.426,0.646,76.999,4
1mKXFLRA179hdOWQBwUk9e,"1KCSPY1glIKqW2TotWuXOR,1qUjOF5fzrpoNycD36b2jZ","Just Give Me a Reason (feat. Nate Ruess)","The Truth About Love","P!nk,Nate Ruess",2012-09-18,242733,84,spotify:user:wickeddreamer96,2019-07-15T22:41:51Z,"dance pop,pop,modern rock",0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,4
0nJW01T7XtvILxQgC5J7Wh,"0du5cEVh5yTK9QJze8zA0C","When I Was Your Man","Unorthodox Jukebox","Bruno Mars",2012-12-07,213826,90,spotify:user:wickeddreamer96,2019-07-15T22:42:12Z,"dance pop,pop",0.612,0.28,0,-8.648,1,0.0434,0.932,0,0.088,0.387,72.795,4
2z8OXShNGUgRitHyO3GuYG,"3b8QkneNDz4JHKKKlLgYZg,2gBjLmx6zQnFGQJCAQpRgw","Cruise - Remix","Cruise (Remix)","Florida Georgia Line,Nelly",2013-01-01,206813,47,spotify:user:wickeddreamer96,2019-07-15T22:43:25Z,"contemporary country,country,country pop,country road,modern country rock,dance pop,gangster rap,hip hop,pop rap,rap,st louis rap,urban contemporary",0.528,0.921,0,-4.044,0,0.0787,0.0166,0,0.736,0.68,149.031,4
3sAIY2jtHpUHKfwDSSVgMM,"6jJ0s89eD6GaHleKKya26X","Roar","Roar","Katy Perry",2013-01-01,222666,51,spotify:user:wickeddreamer96,2019-07-15T22:43:41Z,"pop",0.667,0.782,7,-4.382,0,0.0317,0.00755,0.0000141,0.494,0.44,89.972,4
