Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3uJPE6T7bXhATm2SILt9MZ,"5bhj69AnZez5WMz19Cq1Io,3c8OnI5s57c6jx7AcHn1ym","Elusive Delusive","The Light of the Dawn","Asagaya,Lorine Cha",2015-03-30,190343,47,spotify:user:beatportprofile,2024-05-31T15:17:13Z,"hip-hop experimental",0.732,0.552,5,-10.2,0,0.0267,0.0121,0.0000475,0.113,0.665,126.972,4
6poC4NetvefG6Vte2GVYGL,"5CTZ9x42i9fZmlzm3AEyX0","Imprints","Imprints","Funk Cartel",2024-05-31,420923,16,spotify:user:beatportprofile,2024-05-31T15:17:13Z,"",0.799,0.864,2,-7.402,1,0.0636,0.00306,0.76,0.0593,0.816,130,4
5RxlAdFgomExjQbNQYmiYL,"4pzJW4dAwRMnyDdJXQhOFf,4tsJtwx9bdO1OwZspBz1Bq","Caddy","Caddy","n808,GOLES",2024-05-31,262698,15,spotify:user:beatportprofile,2024-05-31T15:17:13Z,"",0.802,0.545,6,-7.815,0,0.075,0.000145,0.863,0.0634,0.418,128.015,4
2fjS2VP1OUqN5cUwuReqJP,"1a8YXQamaJgsFF92E4Pu8q","Disco McBass","Disco McBass","Nicola Gavino",2024-05-31,347603,13,spotify:user:beatportprofile,2024-05-31T15:17:13Z,"",0.799,0.695,1,-7.826,1,0.0907,0.00754,0.836,0.0798,0.595,130.011,4
2MTyxiBm18WrSBRBmsgaKl,"78fAtGKcAeu68c4mPLo9Q9","How Much You Want - Radio Mix","How Much You Want EP","FeR BR",2024-05-31,199523,11,spotify:user:beatportprofile,2024-05-31T15:17:13Z,"re:techno,tech house",0.837,0.938,6,-7.131,1,0.0716,0.0034,0.0782,0.165,0.803,125.976,4
5FLeEuEPsnTadO4jbKb34E,"79pt77aQRjnLUoKOGUi7Um","Follow Me","Follow Me","Silvie Loto",2024-05-31,308636,16,spotify:user:beatportprofile,2024-05-31T15:17:13Z,"",0.787,0.906,7,-7.507,1,0.0406,0.0131,0.834,0.0721,0.334,132.021,4
5KXRY5hKpnMnpFxclIDbB3,"5lZ8HC92jRDlyeq0vSxGeI,5Krv6spDHbLWdNMtyTdRpX","Swagon","Swagon","Detlef,Ossey James",2017-01-06,212810,38,spotify:user:beatportprofile,2024-05-31T15:17:13Z,"house,latvian pop,tech house",0.801,0.682,4,-7.392,1,0.054,0.00273,0.621,0.0507,0.464,124.982,4
2Va7ti1gIBVGUSiXbTioum,"5OImcY3khBn9UFjzgaapob,7eoJbho2ohpRTHDjZjkMTB","Big Busta - Extended Mix","Big Busta","Low Steppa,Jewel Kid",2024-05-31,303771,15,spotify:user:beatportprofile,2024-05-31T15:17:13Z,"bass house,deep groove house,house,tech house,uk dance",0.798,0.811,7,-5.066,1,0.076,0.000619,0.411,0.0729,0.786,127.988,4
4hESHknyShQDk2pb1cAoVW,"5F9PcM3OP6dnHPGJ94t43L","Love With You - Extended Mix","Love With You","APEXAPE",2024-05-31,280705,18,spotify:user:beatportprofile,2024-05-31T15:17:13Z,"deep groove house",0.78,0.869,1,-4.443,0,0.067,0.00159,0.849,0.0756,0.0445,123.974,4
02L282lCvpZ3smV2D2WGls,"0q1KWQ2KDqSA6neWGPi2Mm,2e7SUWF2o7OoYAlh7oMayk","Limbo - Extended Mix","Limbo","BRETSN,ASTELLE",2024-05-31,299534,7,spotify:user:beatportprofile,2024-05-31T15:17:13Z,"covertronica",0.801,0.739,1,-7.23,1,0.0619,0.00127,0.879,0.0775,0.697,129.011,4
