Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6CDzDgIUqeDY5g8ujExx2f,4yvcSjfu4PC0CYQyLy4wSq,Heat Waves,Heat Waves,Glass Animals,2020-06-29,238805,32,spotify:user:wickeddreamer96,2022-12-01T15:13:54Z,"gauze pop,indietronica,modern rock,pov: indie,shiver pop",0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4
4Dvkj6JhhA12EX05fT7y2e,6KImCVD70vtIoJWnq6nGn3,As It Was,Harry's House,Harry Styles,2022-05-20,167303,95,spotify:user:wickeddreamer96,2022-12-04T21:33:10Z,pop,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
5PjdY0CKGZdEuoNab3yDmX,"2tIP7SsRs7vjIcLrU85W8J,1uNFoZAHBGtllmzznpCI3s",STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,"The Kid LAROI,Justin Bieber",2021-07-23,141805,33,spotify:user:wickeddreamer96,2022-12-01T15:15:34Z,"australian hip hop,canadian pop,pop",0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,4
46IZ0fSY2mpAiktS3KOqds,4dpARuHxo51G3z768sgnrY,Easy On Me,30,Adele,2021-11-19,224694,84,spotify:user:wickeddreamer96,2022-12-01T15:16:01Z,"british soul,pop,pop soul,uk pop",0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981,4
50nfwKoDiSYg8zOCREWAm5,6eUKZXaKkcviH0Ku9w2n3V,Shivers,=,Ed Sheeran,2021-10-29,207853,87,spotify:user:wickeddreamer96,2022-12-01T15:16:09Z,"pop,singer-songwriter pop,uk pop",0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,4
0wHFktze2PHC5jDt3B17DC,2LIk90788K0zvyj2JJVwkJ,First Class,Come Home The Kids Miss You,Jack Harlow,2022-05-06,173947,81,spotify:user:wickeddreamer96,2022-12-01T15:16:29Z,"deep underground hip hop,kentucky hip hop,pop rap,rap",0.902,0.582,5,-5.902,0,0.109,0.111,3.18e-06,0.111,0.332,107.005,4
6Zu3aw7FfjAF9WA0fA81Oq,3MdXrJWsbVzdn6fe5JYkSQ,Big Energy,Big Energy,Latto,2021-09-24,173182,71,spotify:user:wickeddreamer96,2022-12-01T15:16:35Z,trap queen,0.935,0.807,11,-3.838,0,0.114,0.0514,0,0.349,0.813,106.017,4
6I3mqTwhRpn34SLVafSH7G,1uNFoZAHBGtllmzznpCI3s,Ghost,Justice,Justin Bieber,2021-03-19,153190,89,spotify:user:wickeddreamer96,2022-12-01T15:16:44Z,"canadian pop,pop",0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,4
4A8cWXxKfIL3lAyUDzXbCF,46SHBwWsqBkxI7EeeBEQG7,Super Gremlin,Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies,Kodak Black,2021-10-30,200547,74,spotify:user:wickeddreamer96,2022-12-01T15:17:01Z,"florida drill,florida rap,melodic rap,miami hip hop,rap,trap,trap latino",0.825,0.414,2,-6.634,1,0.144,0.00265,0,0.357,0.106,72.993,4
6zSpb8dQRaw0M1dK8PBwQz,"3PhoLpVuITZKcymswpck5b,6M2wZ9GZgrQXHCFfjv46we,6n28c9qs9hNGriNa72b26u",Cold Heart - PNAU Remix,Cold Heart (PNAU Remix),"Elton John,Dua Lipa,PNAU",2021-08-13,202735,86,spotify:user:wickeddreamer96,2022-12-01T15:17:08Z,"glam rock,mellow gold,piano rock,rock,dance pop,pop,uk pop,alternative dance,aussietronica,australian dance,australian electropop",0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,4
59nOXPmaKlBfGMDeOVGrIK,"1RyvyyTE3xzB2ZywiAwp0i,3TVXtAsR1Inumwj472S9r4,687cZJR45JO7jhk1LHIbgq",WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,"Future,Drake,Tems",2022-04-29,189893,86,spotify:user:wickeddreamer96,2022-12-01T15:17:25Z,"atl hip hop,hip hop,rap,southern hip hop,trap,canadian hip hop,canadian pop,pop rap,afro r&b,alte,nigerian pop",0.463,0.642,1,-4.474,1,0.34,0.314,0,0.0686,0.339,83.389,4
6HMtHNpW6YPi1hrw9tgF8P,56oDRnqbIiwx4mymNEv7dS,About Damn Time,Special,Lizzo,2022-07-15,191937,76,spotify:user:wickeddreamer96,2022-12-01T15:17:41Z,"escape room,minnesota hip hop,pop,trap queen",0.836,0.743,10,-6.305,0,0.0653,0.0974,0,0.335,0.723,108.965,4
