Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7ljjpDsuOq83ru74qvIJc8,"6TQj5BFPooTa08A7pk8AQ1,1dZll1W7w0FMBahKsYi7F0,1hcZJRTOTuowliPPjPum3V,0BkJ9NocSp5F1U7ODnW687,2kym2q5RbymnEOHtShPi6T","Take U There","Arkade Destinations Living Room","Kaskade,Classic Unknwn,Donricky,PYFER,LSSA",2020-07-24,188006,22,spotify:user:12132863200,2023-12-08T04:34:32Z,"edm,electro house,pop dance,progressive electro house,progressive house,vocal house",0.687,0.682,1,-11.729,0,0.0527,0.611,0.807,0.103,0.153,93.01,4
4UwjjWMRFYjUS0o0ybwlSF,"1hOZLmKpSs0uaKbGeiWSf9","Heatwave","Heatwave","Cobra Man",2020-09-09,228540,34,spotify:user:12132863200,2023-12-08T06:14:03Z,"",0.552,0.726,0,-6.896,0,0.0324,0.00495,0.0000352,0.439,0.633,80.488,4
4abJ8EyNIQNM5JtaqBBuzl,"5bC48lf8QD99jU2lLiJlon","ROT IN PIECES","CRY BABY","HERO",2019-11-07,154736,25,spotify:user:12132863200,2023-12-08T04:44:35Z,"",0.61,0.503,5,-6.967,0,0.113,0.105,0.399,0.0933,0.671,76.1,4
13bJjJi6Oe6u73fBcOqltB,"0q8eApZJs5WDBxayY9769C,6l7R1jntPahGxwJt7Tky8h","Protein","Universal Credit","Jeshi,Obongjayar",2022-05-27,175266,44,spotify:user:12132863200,2023-12-08T04:59:02Z,"uk alternative hip hop,experimental r&b",0.739,0.647,6,-6.168,1,0.297,0.194,0.0025,0.36,0.767,170.01,4
1H13QHTCzJrCcOgZT7aatf,"4hSeosKw3pr72gC10igZow","Blue Coloured Mountain","Blue Coloured Mountain","Szymon",2019-11-08,135680,56,spotify:user:12132863200,2023-12-08T04:34:39Z,"folktronica",0.811,0.498,0,-10.282,1,0.127,0.41,0.0142,0.286,0.689,131.998,4
3EbDhD4PG1D0mYp4s5ygHg,"4hZcUyNkO2mWNA6xFBjo3e","I Wanna","Kia Ora","Spellspellspell",2018-08-23,101538,34,spotify:user:12132863200,2023-12-08T04:50:08Z,"",0.804,0.793,11,-5.264,0,0.303,0.255,0,0.15,0.352,90.962,4
37Fla7V94zrIM1Z45J0mx1,"4pG6hTUl9HhyftfJQQI7np","Training Day","Dragonball Wave","Maitro",2017-04-20,214401,26,spotify:user:12132863200,2023-12-08T04:42:18Z,"future funk,vaporwave",0.789,0.561,1,-8.263,1,0.03,0.0198,0.448,0.232,0.658,102.984,4
5QpKqIBqSBy5ji4GPJ1UIN,"5r2fdrpH44S8EdFXO4jWfI","Pastel","Root to Branch, Vol. 5","Polar Inc.",2020-08-04,219000,45,spotify:user:12132863200,2023-12-08T05:06:14Z,"melodic house",0.738,0.638,9,-9.689,0,0.0635,0.0677,0.887,0.0873,0.041,122.013,4
1Wi0vXVg2cAXmfkrHwoQx4,"251UrhgNbMr15NLzQ2KyKq","Small Worlds","Good Mmornin","Rayland Baxter",2019-07-26,336506,39,spotify:user:12132863200,2023-12-08T05:12:39Z,"indie folk,new americana,stomp and holler",0.668,0.525,5,-9.485,1,0.0859,0.625,0.0227,0.106,0.41,74.412,4
3tgHGoK5ItQv2q2yqggxlb,"1oPRcJUkloHaRLYx0olBLJ","Secrets (Your Fire)","Mercurial World","Magdalena Bay",2021-10-08,245897,45,spotify:user:12132863200,2023-12-08T05:03:18Z,"la pop",0.691,0.827,10,-5.573,0,0.0402,0.00177,0.637,0.416,0.826,107.997,4
7888F1QWPTn4cPbuknNV4T,"23KIrX6iPiVOkx60F4bjNq","HIT EM WHERE IT HURTS","HIT EM WHERE IT HURTS","PawPaw Rod",2020-09-18,165499,59,spotify:user:12132863200,2023-12-08T05:47:39Z,"indie r&b",0.779,0.721,6,-6.371,1,0.214,0.122,0.00252,0.0765,0.822,178.046,4
1gGb1IwsQCLMt04HeokIYX,"3rMDCvvekRMD0WON14PwqO,57dN52uHvrHOxijzpIgu3E","FROSTY","VISUALS","KUNZITE,Ratatat",2021-08-20,263937,0,spotify:user:12132863200,2023-12-08T04:42:26Z,"brooklyn indie,indietronica",0.592,0.899,11,-4.189,0,0.032,0.068,0.499,0.134,0.384,79.998,4
4x2QLfI4urKoum3NIjPW2e,"7cjLa6AQcbH9XWQYmPNpX4,6ZBnvCszokLW4YHZ50uHY8,1mOiWC7OH9ANUtt3vd0A10","Orange Dreamer","Orange Dreamer","Ay Wing,Chuuwee,Shuko",2019-08-23,192533,39,spotify:user:12132863200,2023-12-08T04:56:49Z,"indie hip hop,sacramento hip hop,underground hip hop",0.705,0.493,10,-10.758,0,0.224,0.379,0.00165,0.112,0.513,90.999,4
5MoVGqBJKO7yFGGfofvdnz,"6lOCVUQbb9wzuZQbZQV9zn","Halos","Halos","Cool Company",2020-02-28,231493,0,spotify:user:12132863200,2023-12-08T06:22:44Z,"",0.689,0.596,8,-6.396,1,0.0569,0.678,0,0.114,0.648,135.973,4
0Lf2PlT8IPAaWc59a2fWU6,"7H3z77VbkJcCcFilmKqKNM","For James","The Celestial Suite","Pale Jay",2021-10-22,83046,65,spotify:user:12132863200,2023-12-08T04:45:37Z,"",0.253,0.674,3,-6.929,0,0.0331,0.22,0.734,0.0986,0.436,81.871,4
5M9SVZP15HDCElNLjfGaO4,"2DcAdoxP41GECOfZt2MhQL","Hang High","Mystic Drive-Thru","Dirty Art Club",2019-05-18,92186,39,spotify:user:12132863200,2023-12-08T04:45:16Z,"charlotte nc indie",0.492,0.879,3,-7.757,0,0.0362,0.0000567,0.861,0.267,0.122,92.026,4
5SiQcTgqGff1zB8WNTDjFm,"18lpwfiys4GtdHWNUu9qQr","Happy Sad","Chiaroscuro","Ocean Alley",2018-03-09,330594,44,spotify:user:12132863200,2023-12-08T04:46:50Z,"australian reggae fusion,australian surf rock",0.477,0.737,8,-9.262,1,0.0495,0.00134,0.00613,0.104,0.301,124.023,4
6qqq5zPYV7U4UsKnGC82tw,"6PEMFpe3PTOksdV4ZXUpbE,3jK9MiCrA42lLAdMGUZpwa,17Zu03OgBVxgLxWmRUyNOJ","Daydreaming","Daydreaming","NxWorries,Anderson .Paak,Knxwledge",2023-05-18,186967,45,spotify:user:12132863200,2023-12-08T04:55:29Z,"alternative r&b,indie soul,escape room,hip hop,neo soul,abstract beats,alternative hip hop,instrumental hip hop,wonky",0.697,0.585,1,-9.597,1,0.0361,0.274,0.145,0.0779,0.504,74.014,4
