Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0RXspLL7GwiGm9KIDdT0ma,"0fA0VVWsXO9YnASrzqfmYu","Simple As...","Man On The Moon: The End Of Day (Deluxe)","Kid Cudi",2009-01-01,151333,48,spotify:user:12132863200,2024-06-05T19:21:44Z,"hip hop,ohio hip hop,pop rap,rap",0.802,0.742,1,-4.607,1,0.111,0.265,0.000281,0.63,0.512,95,4
7kjL0ldXgBwZ3xOzA0WHMD,"73sIBHcqh3Z3NyqHKZ7FOL","To Be Hunted","Atavista","Childish Gambino",2024-05-13,254813,69,spotify:user:12132863200,2024-06-05T19:21:44Z,"atl hip hop,hip hop,rap",0.627,0.724,5,-6.107,0,0.0376,0.0323,0.0000191,0.608,0.499,114.988,4
2K0onXEr9iCUSYonEf0Bl4,"1np8xozf7ATJZDi9JX8Dx5,07UJz804RJxqNvxFXC3h9H","maybe it's u","maybe it's u","salute,Sam Gellaitry",2024-05-30,237780,49,spotify:user:12132863200,2024-06-05T19:21:44Z,"ukg revival,future bass,scottish electronic,vapor twitch",0.649,0.831,0,-5.54,0,0.222,0.000669,0.000079,0.637,0.556,123.977,4
2PqNXwl0DmZWUgiYvumEAJ,"15ouNMI0IA7d45Tez6JbRw","Rakata Rakata","Rakata Rakata EP","CASHEW",2023-07-21,218880,44,spotify:user:12132863200,2024-06-05T19:21:44Z,"dark clubbing,tech house",0.806,0.915,1,-5.78,1,0.0551,0.00202,0.787,0.325,0.518,125.013,4
0aJrYfARfCKzv6gXjhs4SZ,"3GBPw9NK25X1Wt2OUvOwY3","Upside Down","Upside Down","Jack Johnson",2006-02-24,209546,77,spotify:user:12132863200,2024-06-05T19:21:44Z,"neo mellow",0.792,0.647,4,-8.314,1,0.045,0.255,0.000223,0.132,0.694,102.477,4
4PMqSO5qyjpvzhlLI5GnID,"7tYKF4w9nC0nq9CsPZTHyP","Good Days","SOS","SZA",2022-12-09,278480,82,spotify:user:12132863200,2024-06-05T19:21:44Z,"pop,r&b,rap",0.461,0.651,1,-8.81,0,0.0568,0.418,0.0000126,0.782,0.383,121.07,4
0JL9TZip7mL7iwC5EOkALS,"3Rq3YOF9YG9YfCWD4D56RZ,2Xavhsn8y9Yrr7N08OxvKF","Lady Brown (feat. Cise Starr from CYNE)","Metaphorical Music","Nujabes,Cise Starr",2003-08-21,199160,61,spotify:user:12132863200,2024-06-05T19:21:44Z,"downtempo,instrumental hip hop,japanese chillhop,japanese old school hip hop,jazz rap",0.499,0.874,0,-4.586,1,0.097,0.611,0.000639,0.0703,0.861,97.317,4
6bru3XYjeUI7DBx8e6TXYJ,"4NgNsOXSwIzXlUIJcpnNUp","When She Loved Me","Rarities, B-Sides & Other Stuff, Vol. 2","Sarah McLachlan",2008-04-29,184520,36,spotify:user:12132863200,2024-06-05T19:21:44Z,"canadian pop,canadian singer-songwriter,ectofolk,lilith,permanent wave,pop rock",0.356,0.18,5,-11.137,1,0.037,0.985,0.00000108,0.11,0.248,139.621,3
6RmWk7p9QY8VMGHdgq4Ulh,"4iMO20EPodreIaEl8qW66y","Shotput","Shotput","Still Woozy",2024-03-22,170698,69,spotify:user:12132863200,2024-06-05T19:21:44Z,"bedroom pop,oakland indie,pov: indie",0.712,0.662,6,-4.777,0,0.059,0.318,0.000686,0.17,0.903,100.881,4
7IhiFqtPKncCJHF721tp8J,"10JL2s5aUztzFyURrFrxtL","Snoopy","Sd-2","Loukeman",2024-01-11,120000,47,spotify:user:12132863200,2024-06-05T19:21:44Z,"glitch pop",0.716,0.407,4,-7.317,1,0.202,0.691,0.396,0.21,0.424,159.948,4
0bfeRvbX6Y7BU13QqeA7wf,"3jcvzSheHd14vjraXHLGPN,50KydUSYhBFGorhAgUcrL5","Metamorphosis - Marie Vaunt Remix","Metamorphosis (Remixes)","Belocca,Marie Vaunt",2023-06-09,377867,43,spotify:user:12132863200,2024-06-05T19:21:44Z,"dark techno,funky tech house,hungarian techno",0.655,0.997,10,-5.156,0,0.103,0.000901,0.869,0.108,0.0648,136.013,4
6BdpQ5lDOUNbaER31ajumE,"2sLMYvxNmHIYNx6re1WUM2","One Inch Punch","The Rabbit That Hunts Tigers","Yin Yin",2019-10-18,308301,48,spotify:user:12132863200,2024-06-05T19:21:44Z,"dutch indie",0.706,0.69,11,-10.856,0,0.0315,0.0179,0.804,0.0838,0.774,117.011,4
4RsL2ZlU4P0CIKDrOwQkzz,"3h1E4x69By503ompHFmKn5","Romance","WaJazz: Japanese Jazz Spectacle Vol.I - Deep, Heavy and Beautiful Jazz from Japan 1968-1984 - The Nippon Columbia masters - Selected by Yusuke Ogawa (Universounds)","Hiroshi Suzuki",2022-04-08,356352,50,spotify:user:12132863200,2024-06-05T19:21:44Z,"classic japanese jazz",0.467,0.315,7,-11.339,0,0.0268,0.719,0.898,0.0727,0.249,147.971,4
1DrlLvlYd1FIjNavRm6NdX,"7pXu47GoqSYRajmBCjxdD6","Back Pocket","Thrill of the Arts","Vulfpeck",2015-10-09,181259,64,spotify:user:12132863200,2024-06-05T19:21:44Z,"ann arbor indie,funk rock,instrumental funk",0.839,0.585,2,-7.737,1,0.153,0.478,0.00278,0.0435,0.89,89.821,4
48wH8bAxvBJO2l14GmNLz7,"7pXu47GoqSYRajmBCjxdD6","Wait for the Moment","My First Car","Vulfpeck",2013-12-06,230676,60,spotify:user:12132863200,2024-06-05T19:21:44Z,"ann arbor indie,funk rock,instrumental funk",0.773,0.36,0,-9.722,1,0.0956,0.501,0.0042,0.0823,0.681,79.207,4
1P9sql6upRrCToZci9hUfa,"2MRAnlUDLuUImm4UEZ9nHB","Like E","dear dialE","dialE",2023-09-15,105365,51,spotify:user:12132863200,2024-06-05T19:21:44Z,"",0.839,0.839,2,-3.543,1,0.0777,0.0108,0.328,0.107,0.701,123.031,4
6UYLv08EVHZsmMP4SrgZVw,"7LvvNoUPwTZpgXDWBRrfHg,1lc8mnyGrCLtPhCoWjRxjM","Dollar $hort","Dollar $hort","DRAMA,Flight Facilities",2023-10-19,195415,47,spotify:user:12132863200,2024-06-05T19:21:44Z,"indie soul,aussietronica,australian dance,australian indie,indietronica,nu disco",0.854,0.698,8,-7.655,1,0.143,0.127,0.0963,0.184,0.577,119.026,4
0UMfconu33lpuioJ696nKv,"6O4EGCCb6DoIiR6B1QCQgp,2TRNyrjoKJnqSc9G8jCZfb","Genius of Love","Genius of Love","Toro y Moi,Brijean",2024-05-17,205000,53,spotify:user:12132863200,2024-06-05T19:21:44Z,"chillwave,hypnagogic pop,indie soul,indietronica,oakland indie",0.782,0.768,7,-6.132,1,0.0405,0.0358,0.0000148,0.218,0.97,102.989,4
5BOX5D958PRwNNpEkYg5QE,"3zW0xazqnHoq9QV9zBROVC","123 Round Again","123 Round Again","it's murph",2023-07-14,123809,48,spotify:user:12132863200,2024-06-05T19:21:44Z,"stutter house",0.742,0.912,11,-5.828,0,0.0495,0.00991,0.876,0.237,0.706,126.026,4
48lxT5qJF0yYyf2z4wB4xW,"1c3uso4iIeeX3P0bhKaQDq,124jbwgd8Hh6LW7jAqTa8r,6EVyI0S0b1Ld2nm37m5x85","Pedro","Pedro","Jaxomy,Agatino Romero,Raffaella Carrà",2024-03-29,144846,90,spotify:user:12132863200,2024-06-05T19:21:44Z,"classic italian pop",0.788,0.936,9,-6.294,1,0.301,0.0229,0.0000013,0.311,0.844,151.019,4
7vE5BCq8NB9aOrCo8IVhw6,"74EhQOxqIuZSj1wsMLQabN,6qgnBH6iDM91ipVXv28OMu,0sc5zYshOdiFD4ayqMrJbJ","Come Inside (Kaytranada Edit)","002 / LOVE ME","Lou Phelps,KAYTRANADA,Jazz Cartier",2018-09-21,266599,45,spotify:user:12132863200,2024-06-05T19:21:44Z,"canadian hip hop,alternative r&b,escape room,indie soul,lgbtq+ hip hop,canadian trap,underground hip hop",0.673,0.663,5,-7.159,0,0.363,0.0784,0,0.186,0.373,107.79,4
2VXRVqJ02WMnUlxTvwdtoz,"338p7qzZTDJSHJzSjIZMFK,6ZmJg6NCjGmRgC2GEI86pQ,5DIqscCDlSKeas54ucF9SI","See Me","See Me","Oppidan,camoufly,SHIMA",2023-08-03,184615,47,spotify:user:12132863200,2024-06-05T19:21:44Z,"2-step,future bass",0.793,0.63,1,-5.902,0,0.113,0.147,0.72,0.291,0.0773,130.104,4
2D4HCY1U3hSCWQ7r7t14vj,"51V0E9ipJyIj7yFDkaLx96","sicklysweet","sicklysweet","Jetta",2023-08-25,162520,42,spotify:user:12132863200,2024-06-05T19:21:44Z,"metropopolis",0.824,0.554,4,-7.862,1,0.0492,0.806,0.000662,0.146,0.773,127.02,4
79T0CC49K6SMSWousGnmyR,"4c2ighP1wj8E5dVGJDCOiB,1ybINI1qPiFbwDXamRtwxD","Mo' Liquor","Lowkey Superstar (Deluxe)","Kari Faux,Smino",2021-09-24,170400,50,spotify:user:12132863200,2024-06-05T19:21:44Z,"alternative r&b,arkansas hip hop,multidisciplinary,trap queen",0.825,0.877,1,-4.158,1,0.182,0.357,0.000681,0.114,0.734,100.085,4
3EA4HwrlLdDJ3b4cX7JfqC,"0JlTFsR41vwvQTppOR3yio","I Wanna Go","About A Feeling","Summer Heart",2012-04-25,247572,49,spotify:user:12132863200,2024-06-05T19:21:44Z,"chillwave,indie dream pop,indie surf,malmo indie,shimmer pop",0.611,0.742,7,-7.402,1,0.0445,0.00768,0.831,0.232,0.343,103.039,4
2du0uUXHQAVdiUlUMUvucH,"6hBrJJrcYoNhvLC6KaFR4b","Waste My Time","Waste My Time","Eliminate",2023-12-01,230400,33,spotify:user:12132863200,2024-06-05T19:21:44Z,"dubstep,gaming dubstep",0.604,0.921,7,-2.788,1,0.0527,0.264,0.586,0.318,0.113,149.883,4
0Pf6NzB4o9ASEPmUmvaRPm,"4qjYf4FY77csjIalUFicQS","Look at U","Look at U","Good Luck",2020-07-12,215026,51,spotify:user:12132863200,2024-06-05T19:21:44Z,"aussietronica",0.815,0.596,4,-11.735,0,0.0486,0.0989,0.891,0.106,0.57,125.009,4
0XJ1C8TjqhmDdrfublTTz7,"7cViIoKAQrjHURdxb9ACCX","Summer Rain","Summer Rain","Zimmer90",2023-07-21,173802,52,spotify:user:12132863200,2024-06-05T19:21:44Z,"",0.793,0.448,0,-7.509,0,0.0279,0.77,0.801,0.228,0.923,108.021,4
0RSwHVCo8lamSLIwUwVB84,"36eHhUCM2dgvNXrsF4CYhM,5KH7MeHHmovSJL3Muoeqiw","Kick It With You","Kick It With You","Mariah Colon,hhunter",2023-04-06,108937,38,spotify:user:12132863200,2024-06-05T19:21:44Z,"",0.842,0.798,8,-2.806,1,0.0503,0.145,0.00681,0.134,0.666,129.994,4
7fzHQizxTqy8wTXwlrgPQQ,"1WaFQSHVGZQJTbf0BdxdNo","MILLION DOLLAR BABY","MILLION DOLLAR BABY","Tommy Richman",2024-04-26,155151,98,spotify:user:12132863200,2024-06-05T19:21:44Z,"chill abstract hip hop",0.849,0.699,1,-5.106,0,0.0436,0.0982,0.000215,0.068,0.927,138.003,4
3CqaTHbiU2nBy3Ar9RnDHN,"7A0awCXkE1FtSU8B0qwOJQ,0XfQBWgzisaS9ltDV9bXAS","Baddy On The Floor","Baddy On The Floor","Jamie xx,Honey Dijon",2024-04-15,222315,69,spotify:user:12132863200,2024-06-05T19:21:44Z,"electronica,future garage,indie soul,indietronica,garage house",0.652,0.877,6,-6.281,0,0.0339,0.00307,0.699,0.186,0.562,124.024,4
7gHhebSuMPZrHaFU830ly5,"27WVFBOddxovimxMmBN4fb","Nothing Sweeter","Nothing Sweeter","Naomi Sharon",2024-01-18,265386,52,spotify:user:12132863200,2024-06-05T19:21:44Z,"dutch r&b,indie r&b",0.584,0.201,7,-9.416,0,0.0304,0.902,0,0.106,0.405,88.008,4
6IlorFVM2XMVITaeVP3ttK,"6nS5roXSAGhTGr34W6n7Et,14L5rpGTLVUz1pD8fUeJB1,2NrprO4CludRmaWtpqud10","You & Me - Rivo Remix","You & Me (Special Edition)","Disclosure,Eliza Doolittle,Rivo",2024-04-26,208524,41,spotify:user:12132863200,2024-06-05T19:21:44Z,"edm,electropop,house,indietronica,uk dance,lilith",0.702,0.797,10,-6.635,0,0.0557,0.583,0.495,0.179,0.0356,122.011,4
7cSwnZHKVh4ldzfOgGyddo,"7kNqXtgeIwFtelmRjWv205,6lib5PryDEdaqbVKPgIMbC","Trip","Dimension","John Summit,Tombz",2019-03-22,348387,42,spotify:user:12132863200,2024-06-05T19:21:44Z,"house,pop dance,uk dance,bass house",0.859,0.873,11,-6.848,1,0.0405,0.00369,0.886,0.626,0.507,124.006,4
