Track Name,Artist Name(s),Release Date,Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
Simple As...,Kid Cudi,2009-01-01,151333,48,0.802,0.742,1,-4.607,1,0.111,0.265,0.000281,0.63,0.512,95,4
To Be Hunted,Childish Gambino,2024-05-13,254813,69,0.627,0.724,5,-6.107,0,0.0376,0.0323,0.0000191,0.608,0.499,114.988,4
maybe it's u,"salute,Sam Gellaitry",2024-05-30,237780,49,0.649,0.831,0,-5.54,0,0.222,0.000669,0.000079,0.637,0.556,123.977,4
Rakata Rakata,CASHEW,2023-07-21,218880,44,0.806,0.915,1,-5.78,1,0.0551,0.00202,0.787,0.325,0.518,125.013,4
Upside Down,Jack Johnson,2006-02-24,209546,77,0.792,0.647,4,-8.314,1,0.045,0.255,0.000223,0.132,0.694,102.477,4
Good Days,SZA,2022-12-09,278480,82,0.461,0.651,1,-8.81,0,0.0568,0.418,0.0000126,0.782,0.383,121.07,4
Lady Brown (feat. Cise Starr from CYNE),"Nujabes,Cise Starr",2003-08-21,199160,61,0.499,0.874,0,-4.586,1,0.097,0.611,0.000639,0.0703,0.861,97.317,4
When She Loved Me,Sarah McLachlan,2008-04-29,184520,36,0.356,0.18,5,-11.137,1,0.037,0.985,0.00000108,0.11,0.248,139.621,3
Shotput,Still Woozy,2024-03-22,170698,69,0.712,0.662,6,-4.777,0,0.059,0.318,0.000686,0.17,0.903,100.881,4
Snoopy,Loukeman,2024-01-11,120000,47,0.716,0.407,4,-7.317,1,0.202,0.691,0.396,0.21,0.424,159.948,4
Metamorphosis - Marie Vaunt Remix,"Belocca,Marie Vaunt",2023-06-09,377867,43,0.655,0.997,10,-5.156,0,0.103,0.000901,0.869,0.108,0.0648,136.013,4
One Inch Punch,Yin Yin,2019-10-18,308301,48,0.706,0.69,11,-10.856,0,0.0315,0.0179,0.804,0.0838,0.774,117.011,4
Romance,Hiroshi Suzuki,2022-04-08,356352,50,0.467,0.315,7,-11.339,0,0.0268,0.719,0.898,0.0727,0.249,147.971,4
Back Pocket,Vulfpeck,2015-10-09,181259,64,0.839,0.585,2,-7.737,1,0.153,0.478,0.00278,0.0435,0.89,89.821,4
Wait for the Moment,Vulfpeck,2013-12-06,230676,60,0.773,0.36,0,-9.722,1,0.0956,0.501,0.0042,0.0823,0.681,79.207,4
Like E,dialE,2023-09-15,105365,51,0.839,0.839,2,-3.543,1,0.0777,0.0108,0.328,0.107,0.701,123.031,4
Dollar $hort,"DRAMA,Flight Facilities",2023-10-19,195415,47,0.854,0.698,8,-7.655,1,0.143,0.127,0.0963,0.184,0.577,119.026,4
Genius of Love,"Toro y Moi,Brijean",2024-05-17,205000,53,0.782,0.768,7,-6.132,1,0.0405,0.0358,0.0000148,0.218,0.97,102.989,4
123 Round Again,it's murph,2023-07-14,123809,48,0.742,0.912,11,-5.828,0,0.0495,0.00991,0.876,0.237,0.706,126.026,4
Pedro,"Jaxomy,Agatino Romero,Raffaella Carrà",2024-03-29,144846,90,0.788,0.936,9,-6.294,1,0.301,0.0229,0.0000013,0.311,0.844,151.019,4
Come Inside (Kaytranada Edit),"Lou Phelps,KAYTRANADA,Jazz Cartier",2018-09-21,266599,45,0.673,0.663,5,-7.159,0,0.363,0.0784,0,0.186,0.373,107.79,4
See Me,"Oppidan,camoufly,SHIMA",2023-08-03,184615,47,0.793,0.63,1,-5.902,0,0.113,0.147,0.72,0.291,0.0773,130.104,4
sicklysweet,Jetta,2023-08-25,162520,42,0.824,0.554,4,-7.862,1,0.0492,0.806,0.000662,0.146,0.773,127.02,4
Mo' Liquor,"Kari Faux,Smino",2021-09-24,170400,50,0.825,0.877,1,-4.158,1,0.182,0.357,0.000681,0.114,0.734,100.085,4
I Wanna Go,Summer Heart,2012-04-25,247572,49,0.611,0.742,7,-7.402,1,0.0445,0.00768,0.831,0.232,0.343,103.039,4
Waste My Time,Eliminate,2023-12-01,230400,33,0.604,0.921,7,-2.788,1,0.0527,0.264,0.586,0.318,0.113,149.883,4
Look at U,Good Luck,2020-07-12,215026,51,0.815,0.596,4,-11.735,0,0.0486,0.0989,0.891,0.106,0.57,125.009,4
Summer Rain,Zimmer90,2023-07-21,173802,52,0.793,0.448,0,-7.509,0,0.0279,0.77,0.801,0.228,0.923,108.021,4
Kick It With You,"Mariah Colon,hhunter",2023-04-06,108937,38,0.842,0.798,8,-2.806,1,0.0503,0.145,0.00681,0.134,0.666,129.994,4
MILLION DOLLAR BABY,Tommy Richman,2024-04-26,155151,98,0.849,0.699,1,-5.106,0,0.0436,0.0982,0.000215,0.068,0.927,138.003,4
Baddy On The Floor,"Jamie xx,Honey Dijon",2024-04-15,222315,69,0.652,0.877,6,-6.281,0,0.0339,0.00307,0.699,0.186,0.562,124.024,4
Nothing Sweeter,Naomi Sharon,2024-01-18,265386,52,0.584,0.201,7,-9.416,0,0.0304,0.902,0,0.106,0.405,88.008,4
You & Me - Rivo Remix,"Disclosure,Eliza Doolittle,Rivo",2024-04-26,208524,41,0.702,0.797,10,-6.635,0,0.0557,0.583,0.495,0.179,0.0356,122.011,4
Trip,"John Summit,Tombz",2019-03-22,348387,42,0.859,0.873,11,-6.848,1,0.0405,0.00369,0.886,0.626,0.507,124.006,4
Cutie Cutie,fusq,2016-02-10,148771,43,0.601,0.635,3,-6.673,1,0.068,0.0032,0.756,0.161,0.917,171.057,4
Change It - Original Mix,Touchtalk,2020-10-29,386341,38,0.845,0.491,5,-5.317,0,0.0692,0.00502,0.551,0.111,0.16,123.006,4
Killing Me Softly With His Song,"Fugees,Ms. Lauryn Hill",1996-02-13,298666,78,0.765,0.289,4,-17.125,0,0.147,0.0268,0.00000177,0.562,0.501,92.413,4
Rose Quartz,Toro y Moi,2013-01-22,253119,49,0.757,0.48,0,-12.372,0,0.0307,0.0636,0.723,0.314,0.406,109.963,4
Acorda Pedrinho,VOLAC,2022-09-16,176190,13,0.808,0.881,11,-5.998,0,0.0638,0.00135,0.556,0.241,0.833,125.999,4
Les Indes Galantes,Jersey,2022-06-16,176521,34,0.511,0.919,6,-6.532,0,0.143,0.000461,0.957,0.734,0.397,137.833,4
ALONE,Sam Gellaitry,2023-09-27,214745,32,0.764,0.716,8,-7.494,1,0.399,0.025,0.000046,0.662,0.479,129.719,4
Acres,Sam Gellaitry,2017-04-07,233750,36,0.271,0.441,9,-7.991,1,0.0461,0.402,0.308,0.103,0.0591,113.633,4
Easy Like Before,Crystal Murray,2020-04-15,178350,43,0.74,0.476,7,-8.244,1,0.102,0.153,0.000108,0.12,0.248,116.954,4
The Thief in Marrakesh,Arc De Soleil,2019-10-18,180373,67,0.76,0.522,2,-7.937,0,0.0374,0.338,0.854,0.142,0.68,89.974,4
HONEYMOON,Jo Hill,2022-04-01,199826,43,0.771,0.59,2,-8.038,1,0.0289,0.625,0.492,0.143,0.865,110.006,4
Konichiwa,Donny Benét,2018-04-06,277866,45,0.81,0.535,2,-8.897,0,0.0358,0.177,0.00637,0.108,0.843,110.03,4
Must Be Love,"Tseba,Electric Fields",2021-05-07,270145,44,0.548,0.922,5,-5.52,1,0.116,0.0585,0.177,0.109,0.735,121.992,4
Let's Go Walk,Bronze Whale,2020-02-25,202000,45,0.692,0.605,10,-5.524,1,0.12,0.662,0.000707,0.105,0.116,89.97,4
Out The Window,Lo Village,2021-01-22,232510,36,0.407,0.835,10,-5.998,0,0.357,0.329,0.000048,0.266,0.757,195.615,4
Dsnt Rlly Matter,Luxage,2020-05-27,229000,32,0.886,0.591,4,-7.881,0,0.134,0.222,0.104,0.262,0.314,119.994,4
The Number Thirteen,Louis Prince,2020-03-13,254666,35,0.505,0.507,1,-10.671,0,0.0446,0.134,0.812,0.104,0.648,154.976,4
