Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5tY63ehp1vvuJHUjOLfkjP,"3SvCpwSeoWCcjfo8zjPZKB,1oip7jt1jaJ5qWFrIOwg6T","OTF","OTF","Autoerotique,Hunter Siegel",2016-06-20,207873,32,spotify:user:31yuv74zep6uldlfsxnc7fcoyawi,2022-06-30T15:52:36Z,"brostep,canadian electronic,electro house",0.666,0.925,6,-2.384,1,0.0444,0.000968,0.724,0.0612,0.406,127.02,4
4OtsKjdGLteeimEUbBgGjG,"4Ws2otunReOa6BbwxxpCt6,6beTArFVpUujvkHi9FVPqs,5he5w2lnU9x7JFhnwcekXX","Cinema - Skrillex Remix","Cinema (feat. Gary Go) [Part 2]","Benny Benassi,Gary Go,Skrillex",2011-03-22,307862,0,spotify:user:31yuv74zep6uldlfsxnc7fcoyawi,2022-06-30T15:52:37Z,"dutch house,edm,electro house,pop dance,brostep,complextro,electro",0.637,0.985,6,-3.809,0,0.184,0.00988,0.00857,0.0649,0.374,145.111,4
5k6ioThKIxeklkIt3MNJjC,"7DMveApC7UnC2NPfPvlHSU","Balenciaga","Balenciaga","Cheat Codes",2018-05-04,173706,34,spotify:user:31yuv74zep6uldlfsxnc7fcoyawi,2022-06-30T15:52:38Z,"edm,pop,pop dance",0.683,0.817,8,-5.531,0,0.215,0.064,0.0000335,0.076,0.241,125.977,4
3CZhdUrdDFo0fI1xfDjpv8,"0dm0kGiPyhp2mps5nutUUa","Hot Girl Bummer","Hot Girl Bummer","Fella",2019-12-06,204404,31,spotify:user:31yuv74zep6uldlfsxnc7fcoyawi,2022-06-30T15:52:39Z,"lithuanian electronic",0.687,0.803,6,-6.482,0,0.374,0.291,0.000111,0.249,0.69,128.046,4
1Q4jb2UjtWUDUojHsB8mLY,"2o5jDhtHVPhrJdv3cEQ99Z,69GGBxA162lTqCwzJG5jLp","Split (Only U)","Split (Only U)","Tiësto,The Chainsmokers",2015-09-14,256640,53,spotify:user:31yuv74zep6uldlfsxnc7fcoyawi,2022-06-30T15:52:40Z,"big room,brostep,dutch edm,edm,house,pop dance,progressive electro house,slap house,trance,pop",0.634,0.927,1,-3.282,1,0.136,0.048,0.687,0.0864,0.35,128.016,4
2xnXeVRHIjDVzG8YfULRUY,"00OLN5o0Ba1W6KkjRi5jWd,1aQwKFn00nswXRDUDipm0K","Bang Bang 99","Bang Bang 99","Dwin,Gaullin",2018-03-29,176535,27,spotify:user:31yuv74zep6uldlfsxnc7fcoyawi,2022-06-30T15:52:41Z,"lithuanian edm,lithuanian electronic",0.651,0.805,0,-8.059,1,0.157,0.297,0.0777,0.35,0.172,128.035,4
18CUaEVCuARS6dySmy4VN2,"7LJSAfWhO7jhjnewy6pKyZ,2eYwIt8heUiqcnd0Tmkizk","Break The Fall","Break The Fall","Kyle Watson,grandma",2020-02-27,193048,16,spotify:user:31yuv74zep6uldlfsxnc7fcoyawi,2022-06-30T15:52:42Z,"bass house,fidget house,house,tech house",0.798,0.605,10,-7.281,0,0.0926,0.0499,0.138,0.121,0.333,122.986,4
6mxVX85uHiirpiJBlPpsuf,"2PPJ3ccorfps8VfCL6i8Rl,42ZsyPZ66sNbbjyeY9G2Au","Identical (feat. Yeah Boy)","Identical (feat. Yeah Boy)","Next Habit,Yeah Boy",2020-01-17,166828,23,spotify:user:31yuv74zep6uldlfsxnc7fcoyawi,2022-06-30T15:52:43Z,"",0.773,0.653,1,-7.117,1,0.0305,0.00547,0.0245,0.144,0.696,123.958,4
6iW38RGqdDGOofmz2HeXLW,"0xRXCcSX89eobfrshSVdyu,0NGAZxHanS9e0iNHpR8f2W,2nm38smINjms1LtczR0Cei","Piece Of Your Heart - Alok Remix","Piece Of Your Heart (Alok Remix)","MEDUZA,Alok,Goodboys",2019-06-07,166451,67,spotify:user:31yuv74zep6uldlfsxnc7fcoyawi,2022-06-30T15:52:44Z,"edm,pop dance,pop house,uk dance,electro house,pop nacional,slap house",0.797,0.86,10,-4.38,0,0.0413,0.0312,0.0137,0.334,0.192,124.033,4
2ONRkpOJ6X91GMXMthtT0M,"4ofCBoyEiGSePFAG500xev,1HBjj22wzbscIZ9sEb5dyf","Ride It - Jonas Blue Remix","Ride It (Jonas Blue Remix)","Regard,Jonas Blue",2019-11-01,182400,54,spotify:user:31yuv74zep6uldlfsxnc7fcoyawi,2022-06-30T15:52:45Z,"pop dance,pop edm,slap house,uk dance,pop,tropical house",0.689,0.946,7,-3.814,0,0.0397,0.00658,0.00189,0.262,0.392,125.037,4
2nA2F3JwEj3FoR9Pxgnkln,"6USMTwO0MNDnKte5a5h0xx,41X1TR6hrK8Q2ZCpp2EqCz,5nki7yRhxgM509M5ADlN1p","Lalala - Oliver Heldens Remix","Lalala (Oliver Heldens Remix)","Y2K,bbno$,Oliver Heldens",2019-10-28,249546,44,spotify:user:31yuv74zep6uldlfsxnc7fcoyawi,2022-06-30T15:52:47Z,"pop rap,viral rap,canadian hip hop,dark trap,meme rap,dutch house,edm,electro house,future house,house,pop dance,progressive electro house,progressive house",0.751,0.8,2,-6.398,1,0.0375,0.000461,0.000521,0.132,0.48,126.007,4
3S9cX3Uzt330yZT0uypT9E,"0daugAjUgbJSqdlyYNwIbT","Apex","Rocket League x Monstercat Vol. 1","Vicetone",2017-07-05,163069,32,spotify:user:31yuv74zep6uldlfsxnc7fcoyawi,2022-06-30T15:52:47Z,"edm,electro house,pop dance,progressive electro house",0.664,0.936,0,-4.636,1,0.0779,0.0591,0.626,0.373,0.806,127.983,4
0N98QCESfFA46B7a6TTZKq,"0deIjoDjl9g9Zpw0sCIOHh","Pump","Pump","Valentino Khan",2017-05-26,183750,43,spotify:user:31yuv74zep6uldlfsxnc7fcoyawi,2022-06-30T15:52:48Z,"brostep,edm,electro house,electronic trap,moombahton",0.805,0.949,6,-2.404,1,0.0471,0.00145,0.795,0.0655,0.663,128.005,4
3sfaTc8Ivlw1JpN7DXZXkX,"7mjToYiXx9JeAXxWVG1kz0,3YGDb5v2LDFC9eNap5mpLz","Right On Time (Douth! Remix)","Right On Time (Douth! Remix)","Chris Lawyer,Douth!",2019-08-05,226670,30,spotify:user:31yuv74zep6uldlfsxnc7fcoyawi,2022-06-30T15:52:49Z,"hungarian edm,brazilian house,deboxe",0.878,0.916,11,-3.756,1,0.0577,0.00866,0.321,0.248,0.394,124.999,4
6OTClxme7EYRZGO6An3SMc,"25oLRSUjJk4YHNUsQXk7Ut,3NJ94iuAmmMjbszODYT6pO","Griztronics","Bangers[2].Zip","GRiZ,Subtronics",2019-08-14,198400,53,spotify:user:31yuv74zep6uldlfsxnc7fcoyawi,2022-06-30T15:52:50Z,"glitch hop,jamtronica,jazztronica,livetronica,brostep",0.607,0.941,11,-3.807,0,0.481,0.037,0.0137,0.321,0.521,75.401,4
24J3dVpDXHznrOCZBGvHut,"00OLN5o0Ba1W6KkjRi5jWd,5Spgsyg6iHiNNu3Bqg32cI","Sweet Dreams","Sweet Dreams","Dwin,ECHO",2018-02-03,141269,43,spotify:user:31yuv74zep6uldlfsxnc7fcoyawi,2022-06-30T15:52:51Z,"lithuanian edm,lithuanian electronic,hypertechno",0.705,0.715,10,-6.116,1,0.0483,0.0217,0.00484,0.228,0.432,110.082,4
