Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6o0gJtOgimGamRBTS80H5g,"4E0HD2PMY8kQJIjlShrLUS,1Oa0bMld0A3u5OTYfMzp5h","PICK UP THE PHONE (feat. Nate Dogg)","PICK UP THE PHONE (feat. Nate Dogg)","PAWSA,Nate Dogg",2024-05-31,224124,59,spotify:user:,2024-05-31T04:00:00Z,"g funk,gangster rap,hardcore hip hop,hip hop,west coast rap",0.811,0.688,10,-6.911,1,0.0747,0.00876,0.29,0.0894,0.548,128.975,4
46N3FCKFABRjNoNBVq4osr,"205i7E8fNVfojowcQSfK9m","girl$","girl$","Dom Dolla",2024-06-07,209552,0,spotify:user:,2024-06-07T04:00:00Z,"australian house,deep groove house,house",0.755,0.945,0,-5.695,1,0.0533,0.00961,0.195,0.862,0.797,133.987,4
08j5W9R5lK3sBXo1A4zgGz,"7DhdJhd6DrxeJlUajwttd1","Hustlin'","Hustlin'","Martin Ikin",2024-05-17,159534,48,spotify:user:,2024-05-17T04:00:00Z,"bass house,house,tech house",0.808,0.831,11,-8.153,1,0.041,0.00184,0.546,0.0989,0.412,129.009,4
6u6vaQoR0IXCWRSOP7h7D6,"3Isy6kedDrgPYoTS1dazA9,4qLwtWhlhyAoQ4S9mSrDW9","Get Busy - Odd Mob Club Mix","Get Busy (Odd Mob Club Mix)","Sean Paul,Odd Mob",2024-05-24,165909,56,spotify:user:,2024-05-24T04:00:00Z,"dance pop,dancehall,pop,pop rap,aussietronica,bass house,tech house",0.77,0.942,11,-5.548,0,0.192,0.00472,0,0.101,0.615,132.08,4
4Mw1vqYfDWL2d8dJLWFYQp,"1Cs0zKBU1kc0i8ypK3B9ai,19HFRWmRCl27kTk6LeqAO8,03O6WINYmDJRCE2EUFaykv","Kill The Vibe","Kill The Vibe","David Guetta,MORTEN,Prophecy",2024-05-31,166917,66,spotify:user:,2024-05-31T04:00:00Z,"big room,dance pop,edm,pop,pop dance,danish electronic,scandipop",0.937,0.751,11,-5.636,0,0.246,0.141,0.0307,0.0604,0.541,133.032,4
6ovzIhWfOcUwYRlobZvJ06,"4Gso3d4CscCijv0lmajZWs,4pnp4w9g30yLfVIAFnZMRd","Bandit - Club Mix","Bandit (Club Mix)","Don Toliver,ACRAZE",2024-03-02,168000,46,spotify:user:,2024-06-05T04:04:17Z,"pop rap,rap,pop dance,tech house",0.828,0.812,2,-5.225,1,0.0503,0.00803,0.0134,0.195,0.311,130.001,4
5mF7p5mwgaPZyIykUhO3PN,"6zx3vuOK841XDu7XFozhFv","Last Night","Last Night","Loofy",2023-10-06,169302,67,spotify:user:,2024-01-12T20:08:53Z,"",0.778,0.803,11,-7.05,1,0.069,0.0115,0.129,0.328,0.102,129.014,4
5ht7wW7dzpou0SuO2zraHA,"052B9SONfhoScw7dgYWw5o,70IVXvEMUXy1k2esJoJdTK","Dominator","Dominator","Biscits,Max Mylo",2024-06-07,171883,0,spotify:user:,2024-06-07T04:00:00Z,"bass house,house,tech house,uk dance,uk tech house",0.853,0.879,11,-6.651,1,0.171,0.00529,0.11,0.592,0.401,127.005,4
2jvhOYfO6pGAlKkGRDkbY9,"4KkHjCe8ouh8C2P9LPoD4F,6mZFMQ4sBi39W9dXCLH77s,11ofEe58zrex8X5NBbWhsk","We No Speak Americano - Sterium & Duarte Remix","We No Speak Americano (Sterium & Duarte Remix)","Yolanda Be Cool,Sterium,Duarte",2024-05-31,167812,30,spotify:user:,2024-05-31T04:00:00Z,"australian dance,australian house,bass house,brazilian edm",0.804,0.696,0,-5.128,1,0.0581,0.00456,0.337,0.0916,0.698,127.999,4
7MAyS6xzh4719eLTKqbL38,"7GQsOji7pfixzkLt63awo5,6oIoaURalGEtkYTswOLoft","The Unknown","The Unknown","Tony Romera,Crusy",2024-04-26,176718,44,spotify:user:,2024-04-26T04:01:00Z,"bass house,electro house,tech house",0.758,0.907,6,-5.562,1,0.0725,0.0264,0.907,0.338,0.0398,128.013,4
