Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1TqafPEsBS77cOefzHXs3s,"6tOv5UYDorjmsernjtaHO1,4q3ewBCX7sLwd24euuV69X,1TtXnWcUs0FCkaZDPGYHdf","Otra Vez","Otra Vez","Kelmitt,Bad Bunny,Darell",2016-07-29,355500,51,spotify:user:12132863200,2023-11-04T03:11:35Z,"reggaeton flow,trap latino,reggaeton,urbano latino,latin hip hop",0.624,0.62,10,-6.678,0,0.0719,0.158,0,0.32,0.428,114.806,4
6C1RD7YQVvt3YQj0CmuTeu,"4q3ewBCX7sLwd24euuV69X,1i8SpTcr7yvPOmcqrbnVXY,329e4yvIujISKGKz1BZZbO,4SsVbpTthjScTS7U2hmr1X,12vb80Km0Ew53ABfJOepVz,64aJYyrXljOodnUG6jvhRD,2T1aUibqR2QC2sINIDQOAK","Diles","Diles","Bad Bunny,Ozuna,Farruko,Arcángel,Ñengo Flow,DJ Luian,Mambo Kingz",2016-08-26,286040,83,spotify:user:12132863200,2023-11-04T03:11:38Z,"reggaeton,trap latino,urbano latino,puerto rican pop,latin hip hop,reggaeton flow",0.813,0.56,2,-5.904,0,0.0618,0.108,0,0.268,0.287,118.033,4
6NSMQFKgjpQb0KkjMDYIK0,"4SsVbpTthjScTS7U2hmr1X,4q3ewBCX7sLwd24euuV69X,2T1aUibqR2QC2sINIDQOAK,64aJYyrXljOodnUG6jvhRD","Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)","Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)","Arcángel,Bad Bunny,Mambo Kingz,DJ Luian",2016-09-30,264000,82,spotify:user:12132863200,2023-11-04T03:11:40Z,"latin hip hop,reggaeton,trap latino,urbano latino,reggaeton flow",0.815,0.514,6,-9.446,0,0.361,0.54,0,0.611,0.623,120.054,4
1JxhrUWZjuI8AOjDJ1JpMN,"4q3ewBCX7sLwd24euuV69X","Soy Peor","Soy Peor","Bad Bunny",2016-12-08,257384,77,spotify:user:12132863200,2023-11-04T03:11:41Z,"reggaeton,trap latino,urbano latino",0.808,0.611,0,-3.221,0,0.0663,0.683,0.00638,0.114,0.172,116.011,4
5lr877wwUsB8inLGywHKxa,"4q3ewBCX7sLwd24euuV69X,6w9ToX5slZ4uIdmD17hJ3c,3EiLUeyEcA6fbRPSHkG5kb,2wYOpkTJZGByNEOjEnSmoW,1pgDilWYDWLoOgGjf1iHNu","Caile","Caile","Bad Bunny,Bryant Myers,De La Ghetto,Revol,Zion",2016-12-25,300187,72,spotify:user:12132863200,2023-11-04T03:11:43Z,"reggaeton,trap latino,urbano latino,reggaeton flow",0.761,0.551,1,-7.034,0,0.103,0.15,0.00000115,0.0768,0.351,129.972,4
2QrGCbW0ylj94JfkgLZFlA,"4q3ewBCX7sLwd24euuV69X,6w9ToX5slZ4uIdmD17hJ3c","Pa Ti","Pa Ti","Bad Bunny,Bryant Myers",2017-01-02,191294,77,spotify:user:12132863200,2023-11-04T03:11:44Z,"reggaeton,trap latino,urbano latino,reggaeton flow",0.76,0.718,1,-3.017,1,0.232,0.348,0,0.0982,0.557,128.14,4
7GfSJBI4qbAG40RTa9jhVu,"14zUHaJZo1mnYtn6IBRaRP,4q3ewBCX7sLwd24euuV69X,6P6GTRTigHBp8ZesNtpCKH","Crecia","Crecia","Justin Quiles,Bad Bunny,Almighty",2017-01-27,270000,60,spotify:user:12132863200,2023-11-04T03:11:46Z,"reggaeton,trap latino,urbano latino,reggaeton flow",0.718,0.702,6,-6.079,0,0.137,0.524,0.00000309,0.149,0.525,120.052,4
2sA4woGW5KgEgGXXxOKPAZ,"2pQAUIesBqfT87PaM1ijtk,3RtNN1VnooWEn3KQk03DUL,4q3ewBCX7sLwd24euuV69X,6P6GTRTigHBp8ZesNtpCKH","Amigos y Enemigos (feat. Bad Bunny & Almighty) - Remix","Amigos y Enemigos (Remix)","Trap Capos,Noriel,Bad Bunny,Almighty",2017-02-06,295304,71,spotify:user:12132863200,2023-11-04T03:11:48Z,"reggaeton,reggaeton flow,trap latino,urbano latino",0.752,0.748,6,-3.755,1,0.0895,0.289,0,0.105,0.497,115.01,4
7oZKzSymWd6cTXX4sEYiXo,"4q3ewBCX7sLwd24euuV69X,6P6GTRTigHBp8ZesNtpCKH,6CeuGv4HZFxwZB1LyCBUjn,3tZdknQnzsVIIdaGCTj4RX,0pm4ijsngxgyYEZl0UeXug","Me Llueven 2","Me Llueven 2","Bad Bunny,Almighty,Denyerkin,Quimico Ultra Mega,El Fother",2017-03-02,230837,47,spotify:user:12132863200,2023-11-04T03:11:49Z,"reggaeton,trap latino,urbano latino,reggaeton flow,urbano espanol,dembow,rap dominicano,trap dominicano",0.853,0.755,7,-3.726,1,0.268,0.267,0,0.482,0.674,122.015,4
7b59ZUw0TkGZuE0HNeiuc4,"4q3ewBCX7sLwd24euuV69X,1RBzGO6Nm3uyhUSxP7EDWO,3RtNN1VnooWEn3KQk03DUL,6w9ToX5slZ4uIdmD17hJ3c,6P6GTRTigHBp8ZesNtpCKH","Me Llueven 3.0","Me Llueven 3.0","Bad Bunny,KEVIN ROLDAN,Noriel,Bryant Myers,Almighty",2017-03-10,290012,55,spotify:user:12132863200,2023-11-04T03:11:50Z,"reggaeton,trap latino,urbano latino,reggaeton colombiano,reggaeton flow",0.848,0.644,4,-4.365,0,0.153,0.274,0,0.791,0.645,121.946,4
