Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2VlLbhGLVJgdOW7kKdWWFc,"6qqNVTkY8uBg9cP3Jd7DAH","Six Feet Under","Six Feet Under","Billie Eilish",2016-11-17,189613,76,spotify:user:12132863200,2023-11-04T03:22:22Z,"art pop,pop",0.576,0.307,11,-12.732,0,0.0428,0.807,0.000355,0.0792,0.157,67.513,4
2uIX8YMNjGMD7441kqyyNU,"6qqNVTkY8uBg9cP3Jd7DAH","ocean eyes","Ocean Eyes","Billie Eilish",2016-11-18,200560,75,spotify:user:12132863200,2023-11-04T03:22:26Z,"art pop,pop",0.475,0.37,4,-7.725,0,0.0361,0.819,0.0577,0.0841,0.157,144.828,4
6NOq79ynBpBi6BSJMdgReN,"6qqNVTkY8uBg9cP3Jd7DAH,3EpmmPtV7DduqNmeqaADIm","Ocean Eyes - Astronomyy Remix","Ocean Eyes (The Remixes)","Billie Eilish,Astronomyy",2017-01-13,296266,61,spotify:user:12132863200,2023-11-04T03:22:27Z,"art pop,pop,indie poptimism,vapor pop",0.594,0.481,4,-8.525,0,0.0353,0.629,0.0126,0.0939,0.0671,144.941,4
4JuZQeSRYJfLCqBgBIxxrR,"6qqNVTkY8uBg9cP3Jd7DAH,2cFrymmkijnjDg9SS92EPM","Ocean Eyes - Blackbear Remix","Ocean Eyes (The Remixes)","Billie Eilish,blackbear",2017-01-13,195306,67,spotify:user:12132863200,2023-11-04T03:22:27Z,"art pop,pop",0.661,0.419,4,-9.807,0,0.0404,0.114,0.0000119,0.0848,0.145,144.98,4
1JbuC7uZm0P1PyX7N7gDEM,"6qqNVTkY8uBg9cP3Jd7DAH,670UISOh9XV1zlq5z5IfoY","Ocean Eyes - GOLDHOUSE Remix","Ocean Eyes (The Remixes)","Billie Eilish,GOLDHOUSE",2017-01-13,213600,53,spotify:user:12132863200,2023-11-04T03:22:27Z,"art pop,pop,pop edm",0.425,0.954,7,-2.573,1,0.0383,0.0344,0.358,0.187,0.572,199.843,4
3bM4b4P6QFDnjdXXI2zufO,"6qqNVTkY8uBg9cP3Jd7DAH,6iWuBN32BqCJAeXW6o3nil","Ocean Eyes - Cautious Clay Remix","Ocean Eyes (The Remixes)","Billie Eilish,Cautious Clay",2017-01-13,191293,40,spotify:user:12132863200,2023-11-04T03:22:27Z,"art pop,pop,indie r&b,nyc pop",0.845,0.486,4,-8.89,0,0.374,0.154,0.0222,0.0618,0.604,82.497,4
4D5sitThGoz0RnMsFdFUuz,"6qqNVTkY8uBg9cP3Jd7DAH,0bI3VA9gVcpoOzrklKgG7V","Six Feet Under - BLU J Remix","Six Feet Under (The Remixes)","Billie Eilish,BLU J",2017-02-03,215624,46,spotify:user:12132863200,2023-11-04T03:22:31Z,"art pop,pop,future house",0.691,0.823,11,-5.969,0,0.0384,0.0392,0.00164,0.127,0.108,128.014,4
3UHa28GclZhNqqlaNFzKKY,"6qqNVTkY8uBg9cP3Jd7DAH,5st4KKihmnSMLRsxWOs2x3","Six Feet Under - Gazzo Remix","Six Feet Under (The Remixes)","Billie Eilish,Gazzo",2017-02-03,208000,46,spotify:user:12132863200,2023-11-04T03:22:31Z,"art pop,pop,pop edm",0.698,0.841,11,-6.269,0,0.0433,0.118,0.0817,0.102,0.42,150.064,4
58nxGpcCfNDiqmFXklOslz,"6qqNVTkY8uBg9cP3Jd7DAH,356FCJoyYWyzONni54Dgrv","Six Feet Under - Jerry Folk Remix","Six Feet Under (The Remixes)","Billie Eilish,Jerry Folk",2017-02-03,200898,55,spotify:user:12132863200,2023-11-04T03:22:31Z,"art pop,pop,vapor soul,vapor twitch",0.447,0.216,11,-12.815,0,0.0508,0.66,0.011,0.139,0.0396,134.868,4
75WGjm9867pcRxGwiLRwK8,"6qqNVTkY8uBg9cP3Jd7DAH,6Ta9RS3a6sLulTlM4FWY5K","Six Feet Under - Aire Atlantica Remix","Six Feet Under (The Remixes)","Billie Eilish,Aire Atlantica",2017-02-03,221718,45,spotify:user:12132863200,2023-11-04T03:22:31Z,"art pop,pop,nyc pop",0.67,0.863,11,-4.368,0,0.0874,0.0651,0.000017,0.11,0.292,141.955,4
