Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2qyhy9ndo8tTGMzXeHTisR,"5cj0lLjcoR7YOSnhnX0Po5","So High","So High","Doja Cat",2014-03-11,201573,77,spotify:user:12132863200,2023-11-04T03:19:32Z,"dance pop,pop",0.647,0.567,10,-5.777,0,0.0374,0.133,0.00000936,0.0638,0.659,131.933,4
74rKCLp6l4A7eI1KAFANDT,"5cj0lLjcoR7YOSnhnX0Po5","Beautiful","Purrr!","Doja Cat",2014-08-05,226720,32,spotify:user:12132863200,2023-11-04T03:19:33Z,"dance pop,pop",0.579,0.691,5,-4.787,0,0.213,0.00739,0.000769,0.442,0.745,143.402,4
0ceoQIazrGBdQx5A5UlOTs,"5cj0lLjcoR7YOSnhnX0Po5","Nunchucks","Purrr!","Doja Cat",2014-08-05,195426,32,spotify:user:12132863200,2023-11-04T03:19:33Z,"dance pop,pop",0.475,0.574,4,-8.558,0,0.193,0.571,0.0751,0.104,0.549,117.976,4
6Rira72Fq1qCD4inP1UfhZ,"5cj0lLjcoR7YOSnhnX0Po5","So High","Purrr!","Doja Cat",2014-08-05,199746,42,spotify:user:12132863200,2023-11-04T03:19:33Z,"dance pop,pop",0.643,0.574,10,-5.45,0,0.0368,0.123,0.00000463,0.0499,0.686,132.718,4
0llA5wge28PMNvAWSnrs9u,"5cj0lLjcoR7YOSnhnX0Po5","No Police","Purrr!","Doja Cat",2014-08-05,240426,36,spotify:user:12132863200,2023-11-04T03:19:33Z,"dance pop,pop",0.58,0.347,9,-10.023,1,0.0634,0.775,0.00594,0.177,0.307,119.622,4
54t9vQRwKdSCCh7FShyf9b,"5cj0lLjcoR7YOSnhnX0Po5","Control","Purrr!","Doja Cat",2014-08-05,220266,32,spotify:user:12132863200,2023-11-04T03:19:33Z,"dance pop,pop",0.512,0.589,2,-7.853,0,0.0372,0.154,0.00396,0.228,0.0573,127.942,4
58pnv11Ku9Gak5OeeREw9C,"5cj0lLjcoR7YOSnhnX0Po5","Beautiful","Purrr!","Doja Cat",2014-08-05,226720,45,spotify:user:12132863200,2023-11-04T03:19:35Z,"dance pop,pop",0.579,0.691,5,-4.787,0,0.213,0.00739,0.000769,0.444,0.745,143.402,4
7mKLeYLFcRT9ZZXioSohIT,"5cj0lLjcoR7YOSnhnX0Po5","Nunchucks","Purrr!","Doja Cat",2014-08-05,195426,45,spotify:user:12132863200,2023-11-04T03:19:35Z,"dance pop,pop",0.692,0.609,4,-8.569,0,0.0839,0.595,0.151,0.109,0.552,118.05,4
1yvSMyZn27M4wEslpSvB0D,"5cj0lLjcoR7YOSnhnX0Po5","So High","Purrr!","Doja Cat",2014-08-05,199746,73,spotify:user:12132863200,2023-11-04T03:19:35Z,"dance pop,pop",0.621,0.585,10,-5.632,0,0.0457,0.12,0.00000191,0.05,0.668,132.004,4
2XheCI3rWOUChSH5ntgVw9,"5cj0lLjcoR7YOSnhnX0Po5","No Police","Purrr!","Doja Cat",2014-08-05,240426,57,spotify:user:12132863200,2023-11-04T03:19:35Z,"dance pop,pop",0.59,0.331,9,-9.986,1,0.0609,0.769,0.00544,0.185,0.292,120.062,4
43uFv6f0uBYBhfr6XncqAe,"5cj0lLjcoR7YOSnhnX0Po5","Control","Purrr!","Doja Cat",2014-08-05,220266,45,spotify:user:12132863200,2023-11-04T03:19:35Z,"dance pop,pop",0.497,0.619,2,-7.836,0,0.0388,0.189,0.0285,0.218,0.0393,128.083,4
1dgF53w3I5POOQrUisalOs,"51FdY610ARIDu41nd5MxZd,5cj0lLjcoR7YOSnhnX0Po5","Right Side (Feat. Doja Cat)","Right Side (Feat. Doja Cat)","L8LOOMER,Doja Cat",2017-06-13,212727,41,spotify:user:12132863200,2023-11-04T03:19:43Z,"dance pop,pop",0.547,0.631,5,-5.646,1,0.533,0.19,0,0.0945,0.362,165.281,3
70C06cr5n4kFRfOltnNppP,"5cj0lLjcoR7YOSnhnX0Po5","Roll With Us","Roll With Us","Doja Cat",2018-02-01,180880,35,spotify:user:12132863200,2023-11-04T03:19:45Z,"dance pop,pop",0.667,0.639,2,-5.563,1,0.0294,0.0037,0.00000271,0.179,0.141,121.978,4
35yqkDUIs6l4GXNRwRjB7Q,"5cj0lLjcoR7YOSnhnX0Po5","Go To Town","Go To Town","Doja Cat",2018-03-09,217806,44,spotify:user:12132863200,2023-11-04T03:19:46Z,"dance pop,pop",0.71,0.71,0,-2.474,1,0.0581,0.0706,0.00000114,0.206,0.698,169.938,4
5GnhlCa3G85uNJHNlcjiGb,"5cj0lLjcoR7YOSnhnX0Po5","Candy","Candy","Doja Cat",2018-03-23,190926,48,spotify:user:12132863200,2023-11-04T03:19:47Z,"dance pop,pop",0.688,0.519,8,-5.888,1,0.0395,0.537,0,0.14,0.238,124.903,4
6iOvnACn4ChlAw4lWUU4dd,"5cj0lLjcoR7YOSnhnX0Po5","Go To Town","Amala","Doja Cat",2018-03-30,217813,66,spotify:user:12132863200,2023-11-04T03:19:49Z,"dance pop,pop",0.71,0.71,0,-2.474,1,0.0579,0.0716,0.00000107,0.206,0.7,169.944,4
4QdjPwwCCq3ifWVHiRj3jx,"5cj0lLjcoR7YOSnhnX0Po5","Cookie Jar","Amala","Doja Cat",2018-03-30,199440,49,spotify:user:12132863200,2023-11-04T03:19:49Z,"dance pop,pop",0.722,0.864,0,-3.317,1,0.107,0.00324,0,0.164,0.466,148.025,4
1V4uZia23KCnh7BfTTsVMu,"5cj0lLjcoR7YOSnhnX0Po5","Roll With Us","Amala","Doja Cat",2018-03-30,180906,50,spotify:user:12132863200,2023-11-04T03:19:49Z,"dance pop,pop",0.664,0.637,2,-5.593,1,0.0283,0.00434,0.000005,0.199,0.125,121.975,4
2s4AcE9n80mSHl87lp4gIm,"5cj0lLjcoR7YOSnhnX0Po5,3nwYsifpwrKmCIpw4i0HDW","Wine Pon You (feat. Konshens)","Amala","Doja Cat,Konshens",2018-03-30,219000,78,spotify:user:12132863200,2023-11-04T03:19:49Z,"dance pop,pop,dancehall,traphall",0.797,0.444,9,-7.738,0,0.0411,0.304,0.00126,0.107,0.138,95.035,4
