Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1v24T2ug4TlssYZvI3aL4O,"3TVXtAsR1Inumwj472S9r4","Lust For Life","So Far Gone","Drake",2009,176179,55,spotify:user:12132863200,2023-10-10T01:36:48Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.462,0.422,6,-10.381,1,0.175,0.939,0.0327,0.108,0.0853,87.364,4
3XLSlQLJf3Ut0zvMUxnF1h,"3TVXtAsR1Inumwj472S9r4","Houstatlantavegas","So Far Gone","Drake",2009,290791,61,spotify:user:12132863200,2023-10-10T01:36:48Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.683,0.695,1,-6.798,0,0.0574,0.393,0.00124,0.124,0.406,135.337,4
6NwhtCYkfwWlcR62Ac4E7y,"3TVXtAsR1Inumwj472S9r4,2iojnBLj0qIMiKPvVhLnsH,55Aa2cqylxrFIXC767Z865","Successful (feat. Trey Songz & Lil Wayne)","So Far Gone","Drake,Trey Songz,Lil Wayne",2009,375050,61,spotify:user:12132863200,2023-10-10T01:36:48Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,dance pop,r&b,southern hip hop,trap,urban contemporary,new orleans rap",0.562,0.544,8,-5.065,1,0.369,0.536,0,0.17,0.231,159.517,4
4FDSPGncHRpr6yB8DD4CtI,"3TVXtAsR1Inumwj472S9r4,6u11Qbko2N2hP4lTBYjX86","Let’s Call It Off (feat. Peter Bjorn and John)","So Far Gone","Drake,Peter Bjorn and John",2009,234175,54,spotify:user:12132863200,2023-10-10T01:36:48Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,alternative dance,baroque pop,dance-punk,indie rock,modern rock,new rave,shimmer pop,swedish alternative rock,swedish indie pop",0.79,0.731,9,-4.607,0,0.0327,0.00427,0.29,0.157,0.938,127.403,4
0JaVdpmiex2EP7bBzyKVTa,"3TVXtAsR1Inumwj472S9r4","November 18th","So Far Gone","Drake",2009,188189,63,spotify:user:12132863200,2023-10-10T01:36:48Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.749,0.476,11,-11.147,0,0.507,0.579,0,0.1,0.534,71.937,4
2hcohLIysMxofYziluXCoX,"3TVXtAsR1Inumwj472S9r4,55Aa2cqylxrFIXC767Z865","Ignant Shit (feat. Lil Wayne)","So Far Gone","Drake,Lil Wayne",2009,302492,58,spotify:user:12132863200,2023-10-10T01:36:48Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,new orleans rap,trap",0.591,0.846,7,-3.687,1,0.276,0.186,0,0.463,0.121,94.795,4
3lkkkYc1wBj5l3FVlpqvP6,"3TVXtAsR1Inumwj472S9r4,1Xfmvd48oOhEWkscWyEbh9","A Night Off (feat. Lloyd)","So Far Gone","Drake,Lloyd",2009,193962,54,spotify:user:12132863200,2023-10-10T01:36:48Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,hip pop,r&b,southern hip hop,trap,urban contemporary",0.611,0.508,11,-5.573,0,0.0741,0.374,0.00000387,0.168,0.368,103.612,4
7mPoCVGP752A5DtHf1SKkM,"3TVXtAsR1Inumwj472S9r4","Say What's Real","So Far Gone","Drake",2009,230717,53,spotify:user:12132863200,2023-10-10T01:36:48Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.462,0.773,8,-5.375,1,0.288,0.632,0,0.212,0.455,86.157,4
524wvipGqxPKYWxkjf9y46,"3TVXtAsR1Inumwj472S9r4,6oBm8HB0yfrIc9IHbxs6in","Little Bit (feat. Lykke Li)","So Far Gone","Drake,Lykke Li",2009,230484,74,spotify:user:12132863200,2023-10-10T01:36:48Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,art pop,electropop,indietronica,neo-synthpop,swedish electropop,swedish indie pop,swedish pop",0.758,0.888,11,-4.899,0,0.0374,0.0999,0.0336,0.661,0.771,120.392,4
3QLjDkgLh9AOEHlhQtDuhs,"3TVXtAsR1Inumwj472S9r4","Best I Ever Had","So Far Gone","Drake",2009,257690,81,spotify:user:12132863200,2023-10-10T01:36:48Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.395,0.922,1,-2.176,1,0.375,0.19,0,0.134,0.558,162.361,4
