Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0p5117bzo9E0ySfDATGola,"6eUKZXaKkcviH0Ku9w2n3V","You Need Me, I Don't Need You","You Need Me","Ed Sheeran",2009,245040,32,spotify:user:12132863200,2023-10-10T02:13:50Z,"pop,singer-songwriter pop,uk pop",0.689,0.563,1,-5.539,1,0.275,0.692,0,0.0579,0.819,129.517,4
2IpFUObI1qBgkuC21cJOXZ,"6eUKZXaKkcviH0Ku9w2n3V","So","You Need Me","Ed Sheeran",2009,268760,32,spotify:user:12132863200,2023-10-10T02:13:50Z,"pop,singer-songwriter pop,uk pop",0.521,0.133,10,-10.599,1,0.0431,0.853,0,0.35,0.391,140.077,4
1R5sCIempBPco1ZZUsYoiu,"6eUKZXaKkcviH0Ku9w2n3V","Be Like You","You Need Me","Ed Sheeran",2009,218373,32,spotify:user:12132863200,2023-10-10T02:13:50Z,"pop,singer-songwriter pop,uk pop",0.671,0.388,11,-6.516,1,0.0762,0.715,0,0.192,0.59,105.869,4
5uKC7DGVpErduk3bZVsWBA,"6eUKZXaKkcviH0Ku9w2n3V","The City","You Need Me","Ed Sheeran",2009,266280,28,spotify:user:12132863200,2023-10-10T02:13:50Z,"pop,singer-songwriter pop,uk pop",0.689,0.369,8,-7.183,1,0.357,0.74,0,0.122,0.701,102.565,4
7BHC6UF06FWl6hU8GjiBy6,"6eUKZXaKkcviH0Ku9w2n3V","Sunburn","You Need Me","Ed Sheeran",2009,266053,30,spotify:user:12132863200,2023-10-10T02:13:50Z,"pop,singer-songwriter pop,uk pop",0.533,0.17,7,-11.342,1,0.0668,0.842,0.00000503,0.113,0.33,116.852,5
1tdB5NdMqSWMpH6LV7LkRM,"6eUKZXaKkcviH0Ku9w2n3V","Intro - Spotify Sessions","Spotify Session","Ed Sheeran",2011,30010,19,spotify:user:12132863200,2023-10-10T02:13:51Z,"pop,singer-songwriter pop,uk pop",0.718,0.446,6,-18.466,1,0.958,0.505,0,0.217,0.127,92.076,1
6D9w7wnOtoViu0yX6lmCsy,"6eUKZXaKkcviH0Ku9w2n3V","The A Team - Spotify Sessions","Spotify Session","Ed Sheeran",2011,228783,33,spotify:user:12132863200,2023-10-10T02:13:51Z,"pop,singer-songwriter pop,uk pop",0.554,0.255,9,-14.852,1,0.328,0.535,0,0.234,0.531,86.053,4
1u3FMEh3u14smbxY1XZc4S,"6eUKZXaKkcviH0Ku9w2n3V","Lego House - Spotify Sessions","Spotify Session","Ed Sheeran",2011,221010,34,spotify:user:12132863200,2023-10-10T02:13:51Z,"pop,singer-songwriter pop,uk pop",0.55,0.196,11,-16.253,1,0.355,0.766,0,0.191,0.492,162.481,4
5OebvB477bOvqMgbsracwL,"6eUKZXaKkcviH0Ku9w2n3V","You Need Me, I Don't Need You - Spotify Sessions","Spotify Session","Ed Sheeran",2011,194649,27,spotify:user:12132863200,2023-10-10T02:13:51Z,"pop,singer-songwriter pop,uk pop",0.68,0.286,2,-16.237,1,0.441,0.417,0,0.699,0.916,111.734,4
3PB8iSyxMHfyENnye0v7Sl,"6eUKZXaKkcviH0Ku9w2n3V","The A Team","The A Team","Ed Sheeran",2011-06-10,258373,41,spotify:user:12132863200,2023-10-10T02:14:27Z,"pop,singer-songwriter pop,uk pop",0.642,0.289,9,-9.918,1,0.0367,0.669,0,0.18,0.407,84.996,4
