Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
38dxwjNTN6sw1ZV3EivUUu,"1uNFoZAHBGtllmzznpCI3s","One Time","My World (Canada Version - All BP's)","Justin Bieber",2009-01-01,215866,49,spotify:user:12132863200,2023-11-04T03:15:28Z,"canadian pop,pop",0.691,0.853,1,-2.528,0,0.0372,0.0631,0.0000713,0.082,0.762,145.999,4
5DMY2szRG9GgfjKkRHtKxg,"1uNFoZAHBGtllmzznpCI3s","Favorite Girl","My World (Canada Version - All BP's)","Justin Bieber",2009-01-01,256799,42,spotify:user:12132863200,2023-11-04T03:15:28Z,"canadian pop,pop",0.581,0.681,7,-4.469,1,0.0435,0.0472,0,0.104,0.634,176.034,4
1GcOQjlDOmtzO6ZOTnc8Xy,"1uNFoZAHBGtllmzznpCI3s","Down To Earth","My World (Canada Version - All BP's)","Justin Bieber",2009-01-01,245760,35,spotify:user:12132863200,2023-11-04T03:15:28Z,"canadian pop,pop",0.543,0.718,2,-4.795,1,0.0268,0.432,0,0.437,0.155,82.003,4
77kfOaLb3jneS0lCbc9AMA,"1uNFoZAHBGtllmzznpCI3s","Bigger","My World (Canada Version - All BP's)","Justin Bieber",2009-01-01,197800,28,spotify:user:12132863200,2023-11-04T03:15:28Z,"canadian pop,pop",0.78,0.733,0,-2.851,0,0.112,0.166,0,0.341,0.895,104.086,4
6sj3SlT8e4JCcnK60ua1XX,"1uNFoZAHBGtllmzznpCI3s","One Less Lonely Girl","My World (Canada Version - All BP's)","Justin Bieber",2009-01-01,229106,47,spotify:user:12132863200,2023-11-04T03:15:28Z,"canadian pop,pop",0.58,0.75,4,-4.421,1,0.194,0.159,0,0.274,0.728,86.938,4
5dyPmLq6Zf0nFK6CVC357c,"1uNFoZAHBGtllmzznpCI3s,23zg3TcAtWQy7J6upgbUnj","First Dance","My World (Canada Version - All BP's)","Justin Bieber,USHER",2009-01-01,222333,28,spotify:user:12132863200,2023-11-04T03:15:28Z,"canadian pop,pop,atl hip hop,contemporary r&b,dance pop,r&b,rap,south carolina hip hop,urban contemporary",0.646,0.52,11,-7.289,1,0.0412,0.0137,0,0.275,0.328,68.517,4
1ax4ZAVsA2k1WmlAEiknCH,"1uNFoZAHBGtllmzznpCI3s","Love Me","My World (Canada Version - All BP's)","Justin Bieber",2009-01-01,191573,46,spotify:user:12132863200,2023-11-04T03:15:28Z,"canadian pop,pop",0.729,0.868,3,-3.319,1,0.0609,0.00939,0,0.283,0.632,124.957,4
6WhfEq52yI1InYIByjJEra,"1uNFoZAHBGtllmzznpCI3s","One Less Lonely Girl - French Vocal","My World (Canada Version - All BP's)","Justin Bieber",2009-01-01,227960,26,spotify:user:12132863200,2023-11-04T03:15:28Z,"canadian pop,pop",0.576,0.771,4,-4.168,1,0.191,0.123,0,0.45,0.691,86.828,4
6epn3r7S14KUqlReYr77hA,"1uNFoZAHBGtllmzznpCI3s,3ipn9JLAPI5GUEo4y4jcoi","Baby","My World 2.0","Justin Bieber,Ludacris",2010-01-01,214240,84,spotify:user:12132863200,2023-11-04T03:15:29Z,"canadian pop,pop,atl hip hop,dance pop,dirty south rap,hip hop,old school atlanta hip hop,pop rap,rap,southern hip hop,trap",0.728,0.859,5,-5.237,0,0.137,0.0401,0,0.111,0.535,65.043,4
3rLIv187BhjyweFe89SgLn,"1uNFoZAHBGtllmzznpCI3s","Somebody To Love","My World 2.0","Justin Bieber",2010-01-01,220920,73,spotify:user:12132863200,2023-11-04T03:15:29Z,"canadian pop,pop",0.714,0.833,5,-5.239,1,0.0259,0.00249,0,0.298,0.663,129.964,4
1DyV9obL0pPibOjW5ufg15,"1uNFoZAHBGtllmzznpCI3s","Stuck In The Moment","My World 2.0","Justin Bieber",2010-01-01,222960,65,spotify:user:12132863200,2023-11-04T03:15:29Z,"canadian pop,pop",0.721,0.698,0,-6.353,0,0.0526,0.165,0,0.133,0.365,89.987,4
6Xw2FLih8m5ItDbyP992HH,"1uNFoZAHBGtllmzznpCI3s","U Smile","My World 2.0","Justin Bieber",2010-01-01,196906,64,spotify:user:12132863200,2023-11-04T03:15:29Z,"canadian pop,pop",0.705,0.59,1,-5.308,1,0.0284,0.504,0,0.116,0.421,112.565,3
1xgN9KBVVoTNygpYjpXnvH,"1uNFoZAHBGtllmzznpCI3s","Runaway Love","My World 2.0","Justin Bieber",2010-01-01,212573,58,spotify:user:12132863200,2023-11-04T03:15:29Z,"canadian pop,pop",0.754,0.65,10,-6.046,0,0.0316,0.0833,0,0.177,0.924,104.023,4
01BlGnXpLuC0BjgUxVYZFb,"1uNFoZAHBGtllmzznpCI3s","Never Let You Go","My World 2.0","Justin Bieber",2010-01-01,264400,63,spotify:user:12132863200,2023-11-04T03:15:29Z,"canadian pop,pop",0.66,0.811,0,-4.852,1,0.0357,0.00141,0.00000117,0.251,0.675,103.191,4
1tzkJMX3gNjnpcHdLD0pM3,"1uNFoZAHBGtllmzznpCI3s,6sjsQahFYXgmOmocbuHou3","Overboard","My World 2.0","Justin Bieber,Jessica Jarrell",2010-01-01,251186,63,spotify:user:12132863200,2023-11-04T03:15:29Z,"canadian pop,pop",0.479,0.788,5,-5.212,1,0.0542,0.183,0,0.146,0.463,173.963,4
75vEuMA15pb8JmgrGugHEs,"1uNFoZAHBGtllmzznpCI3s,6S0dmVVn4udvppDhZIWxCr","Eenie Meenie","My World 2.0","Justin Bieber,Sean Kingston",2010-01-01,202626,0,spotify:user:12132863200,2023-11-04T03:15:29Z,"canadian pop,pop,dance pop,miami hip hop",0.718,0.588,1,-4.192,1,0.0318,0.0525,0,0.0991,0.812,121.22,4
7wj1Lb5ggzMWJ9TqZJ2dwo,"1uNFoZAHBGtllmzznpCI3s","Up","My World 2.0","Justin Bieber",2010-01-01,234933,57,spotify:user:12132863200,2023-11-04T03:15:29Z,"canadian pop,pop",0.711,0.717,0,-4.317,1,0.0396,0.084,0,0.09,0.589,125.949,4
0aPZbnkMoWJaJ5CNVLCj8S,"1uNFoZAHBGtllmzznpCI3s","That Should Be Me","My World 2.0","Justin Bieber",2010-01-01,232720,74,spotify:user:12132863200,2023-11-04T03:15:29Z,"canadian pop,pop",0.552,0.603,8,-5.71,1,0.0334,0.199,0,0.151,0.231,139.908,4
7pXlRu1d2FY2NuhManEhyT,"1uNFoZAHBGtllmzznpCI3s","One Time - Acoustic Version","My Worlds Acoustic","Justin Bieber",2010-01-01,186266,34,spotify:user:12132863200,2023-11-04T03:15:31Z,"canadian pop,pop",0.763,0.672,10,-6.941,0,0.033,0.039,0,0.14,0.897,146.021,4
0RJC486bAmd4ElLbGgXmWk,"1uNFoZAHBGtllmzznpCI3s","Baby - Acoustic Version","My Worlds Acoustic","Justin Bieber",2010-01-01,215453,35,spotify:user:12132863200,2023-11-04T03:15:31Z,"canadian pop,pop",0.814,0.708,2,-6.34,1,0.0505,0.117,0,0.0796,0.756,130.041,4
0rFkEu8r2FZAB9DhLFlAar,"1uNFoZAHBGtllmzznpCI3s","One Less Lonely Girl - Acoustic","My Worlds Acoustic","Justin Bieber",2010-01-01,237720,39,spotify:user:12132863200,2023-11-04T03:15:31Z,"canadian pop,pop",0.49,0.725,8,-7.641,1,0.05,0.0474,0,0.329,0.392,173.755,4
3oiG5ipBoABpvnVbe8m6xq,"1uNFoZAHBGtllmzznpCI3s","Down To Earth - Acoustic Version","My Worlds Acoustic","Justin Bieber",2010-01-01,243493,33,spotify:user:12132863200,2023-11-04T03:15:31Z,"canadian pop,pop",0.576,0.451,0,-5.634,1,0.0263,0.347,0,0.135,0.233,81.979,4
69PjNPesIOGuLKzFji0VPp,"1uNFoZAHBGtllmzznpCI3s","U Smile - Acoustic Version","My Worlds Acoustic","Justin Bieber",2010-01-01,196613,32,spotify:user:12132863200,2023-11-04T03:15:31Z,"canadian pop,pop",0.778,0.55,11,-5.266,1,0.0291,0.296,0,0.136,0.448,112.474,3
1AZjxcVtII3Zipt4qY4kwX,"1uNFoZAHBGtllmzznpCI3s","Stuck In The Moment - Acoustic Version","My Worlds Acoustic","Justin Bieber",2010-01-01,198760,34,spotify:user:12132863200,2023-11-04T03:15:31Z,"canadian pop,pop",0.716,0.599,0,-6.223,0,0.0287,0.391,0,0.249,0.287,89.951,4
0t4I4SX3fzodvM5cFYIx16,"1uNFoZAHBGtllmzznpCI3s","Favorite Girl (Live) - Acoustic Version","My Worlds Acoustic","Justin Bieber",2010-01-01,309893,38,spotify:user:12132863200,2023-11-04T03:15:31Z,"canadian pop,pop",0.421,0.588,2,-5.333,0,0.0406,0.778,0,0.334,0.408,88.436,4
3nBRUICiESaoa2IDr2suuz,"1uNFoZAHBGtllmzznpCI3s","That Should Be Me - Acoustic Version","My Worlds Acoustic","Justin Bieber",2010-01-01,249066,35,spotify:user:12132863200,2023-11-04T03:15:31Z,"canadian pop,pop",0.492,0.463,8,-6.371,1,0.0283,0.409,0,0.0723,0.0745,139.546,4
7HD4c6Kxii0yB9VZVy9eLq,"1uNFoZAHBGtllmzznpCI3s,0xOeVMOz2fVg5BJY3N6akT","Never Say Never - Acoustic Version","My Worlds Acoustic","Justin Bieber,Jaden",2010-01-01,223000,31,spotify:user:12132863200,2023-11-04T03:15:31Z,"canadian pop,pop,pop rap,rap",0.802,0.762,7,-4.047,1,0.0387,0.0563,0,0.152,0.825,96.904,4
0kQirFeMMngR2i4cek5PwL,"1uNFoZAHBGtllmzznpCI3s","Pray - Acoustic Version","My Worlds Acoustic","Justin Bieber",2010-01-01,212920,36,spotify:user:12132863200,2023-11-04T03:15:31Z,"canadian pop,pop",0.542,0.895,11,-5.231,1,0.0597,0.0864,0.00000961,0.105,0.648,163.986,4
4vVTI94F9uJ8lHNDWKv0i2,"6S0dmVVn4udvppDhZIWxCr,1uNFoZAHBGtllmzznpCI3s","Eenie Meenie","Eenie Meenie","Sean Kingston,Justin Bieber",2010-03-23,201946,79,spotify:user:12132863200,2023-11-04T03:15:34Z,"dance pop,miami hip hop,pop,canadian pop",0.72,0.607,1,-4.168,1,0.0322,0.0543,0,0.113,0.828,121.223,4
5GYbkDveRD2I8M5ZJ14hWn,"1uNFoZAHBGtllmzznpCI3s,0xOeVMOz2fVg5BJY3N6akT","Never Say Never","Never Say Never - The Remixes","Justin Bieber,Jaden",2011-01-01,227853,75,spotify:user:12132863200,2023-11-04T03:15:36Z,"canadian pop,pop,pop rap,rap",0.739,0.807,0,-5.063,1,0.0652,0.0181,0,0.295,0.632,97.048,4
42wmRq3kfUUuyszlkWQbPS,"1uNFoZAHBGtllmzznpCI3s,0a1gHP0HAqALbEyxaD5Ngn","That Should Be Me","Never Say Never - The Remixes","Justin Bieber,Rascal Flatts",2011-01-01,230786,60,spotify:user:12132863200,2023-11-04T03:15:36Z,"canadian pop,pop,contemporary country,country,country road,modern country rock",0.467,0.631,5,-6.762,0,0.0318,0.0312,0,0.0596,0.3,139.962,4
7IUl5c6u18rzmyQOblj10T,"1uNFoZAHBGtllmzznpCI3s,23zg3TcAtWQy7J6upgbUnj","Somebody To Love Remix","Never Say Never - The Remixes","Justin Bieber,USHER",2011-01-01,220160,60,spotify:user:12132863200,2023-11-04T03:15:36Z,"canadian pop,pop,atl hip hop,contemporary r&b,dance pop,r&b,rap,south carolina hip hop,urban contemporary",0.703,0.836,5,-4.619,1,0.0283,0.00388,0,0.16,0.552,129.987,4
0NLaJkNWZARgae0ojQOOvi,"1uNFoZAHBGtllmzznpCI3s,7bXgB6jMjp9ATFy66eO08Z","Up","Never Say Never - The Remixes","Justin Bieber,Chris Brown",2011-01-01,235626,46,spotify:user:12132863200,2023-11-04T03:15:36Z,"canadian pop,pop,pop rap,r&b,rap",0.633,0.708,0,-4.258,1,0.0452,0.123,0,0.1,0.616,62.997,4
5h4Z1fyzlAZhGPRaQz7ima,"1uNFoZAHBGtllmzznpCI3s,5YGY8feqx7naU7z4HrwZM6","Overboard (Live)","Never Say Never - The Remixes","Justin Bieber,Miley Cyrus",2011-01-01,307880,46,spotify:user:12132863200,2023-11-04T03:15:36Z,"canadian pop,pop",0.359,0.882,5,-4.482,1,0.0696,0.425,0,0.791,0.377,173.956,4
