Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2k0oY7sO7YJf8yauH85Tbk,"5pKCCKE2ajJHZ9KAiaK11H","Pon de Replay - Pon De Club Play","Pon de Replay","Rihanna",2005-05-26,452146,20,spotify:user:12132863200,2023-10-10T02:29:26Z,"barbadian pop,pop,urban contemporary",0.78,0.735,1,-13.255,0,0.0484,0.0289,0.671,0.0329,0.372,127.991,4
7EksY3qc60AskWSEXjCfym,"5pKCCKE2ajJHZ9KAiaK11H","Pon de Replay - Cotto's Replay Dub","Pon de Replay","Rihanna",2005-05-26,407160,11,spotify:user:12132863200,2023-10-10T02:29:26Z,"barbadian pop,pop,urban contemporary",0.828,0.819,1,-13.767,0,0.0594,0.0342,0.628,0.0887,0.253,128.019,4
4TsmezEQVSZNNPv5RJ65Ov,"5pKCCKE2ajJHZ9KAiaK11H","Pon de Replay","Music Of The Sun","Rihanna",2005-08-29,246960,81,spotify:user:12132863200,2023-10-10T02:29:34Z,"barbadian pop,pop,urban contemporary",0.779,0.64,7,-8.415,1,0.159,0.000155,0.00077,0.101,0.498,99.019,4
07gLSfLyr23jSKaUpRgR1B,"5pKCCKE2ajJHZ9KAiaK11H,28ykFujzSxWjvgZ7owaROx","Here I Go Again","Music Of The Sun","Rihanna,J-Status",2005-08-29,251133,52,spotify:user:12132863200,2023-10-10T02:29:34Z,"barbadian pop,pop,urban contemporary",0.681,0.611,5,-5.939,0,0.077,0.000332,0.00193,0.12,0.637,83.463,4
4x2rgtSFOI4hRvEvDj02KP,"5pKCCKE2ajJHZ9KAiaK11H","If It's Lovin' That You Want","Music Of The Sun","Rihanna",2005-08-29,208106,80,spotify:user:12132863200,2023-10-10T02:29:34Z,"barbadian pop,pop,urban contemporary",0.745,0.694,8,-7.519,1,0.128,0.0962,0,0.0454,0.74,95.924,4
7wWU3G8lAYNkro19o1wsBc,"5pKCCKE2ajJHZ9KAiaK11H,2NUz5P42WqkxilbI8ocN76","You Don't Love Me (No, No, No)","Music Of The Sun","Rihanna,Vybz Kartel",2005-08-29,260066,47,spotify:user:12132863200,2023-10-10T02:29:34Z,"barbadian pop,pop,urban contemporary,dancehall,jamaican dancehall,reggae fusion",0.691,0.667,2,-6.496,1,0.0769,0.00632,0.00000446,0.0816,0.611,84.008,4
2JMgGr5NopZc83ECon8MBj,"5pKCCKE2ajJHZ9KAiaK11H","That La, La, La","Music Of The Sun","Rihanna",2005-08-29,225866,43,spotify:user:12132863200,2023-10-10T02:29:34Z,"barbadian pop,pop,urban contemporary",0.853,0.672,7,-5.996,0,0.391,0.222,0.00000141,0.297,0.952,77.501,4
2IRrmMVmjvWQjJGY8LNuk5,"5pKCCKE2ajJHZ9KAiaK11H","The Last Time","Music Of The Sun","Rihanna",2005-08-29,293226,40,spotify:user:12132863200,2023-10-10T02:29:34Z,"barbadian pop,pop,urban contemporary",0.65,0.494,9,-7.021,0,0.0538,0.0232,0,0.104,0.114,111.68,4
5b41vHKBfpyEbmkJu6wtlH,"5pKCCKE2ajJHZ9KAiaK11H","Willing To Wait","Music Of The Sun","Rihanna",2005-08-29,277973,37,spotify:user:12132863200,2023-10-10T02:29:34Z,"barbadian pop,pop,urban contemporary",0.537,0.443,10,-8.407,0,0.107,0.0107,0.0000699,0.166,0.281,84.597,4
3vPkkIsaQ5NqOqvj7Ht8kR,"5pKCCKE2ajJHZ9KAiaK11H","Music Of The Sun","Music Of The Sun","Rihanna",2005-08-29,236026,41,spotify:user:12132863200,2023-10-10T02:29:34Z,"barbadian pop,pop,urban contemporary",0.535,0.643,0,-8.182,1,0.155,0.112,0,0.281,0.632,171.884,4
4tAqWkqjX9bRSUpNcYviVf,"5pKCCKE2ajJHZ9KAiaK11H","Let Me","Music Of The Sun","Rihanna",2005-08-29,236400,41,spotify:user:12132863200,2023-10-10T02:29:34Z,"barbadian pop,pop,urban contemporary",0.753,0.771,5,-5.833,0,0.145,0.0541,0.000304,0.133,0.743,108.022,4
5NH2an2qR7M6ptHnxTfhP1,"5pKCCKE2ajJHZ9KAiaK11H,5P2rwRBgIN450RaJxdjYdA","Rush","Music Of The Sun","Rihanna,Kardinal Offishall",2005-08-29,189573,38,spotify:user:12132863200,2023-10-10T02:29:34Z,"barbadian pop,pop,urban contemporary,canadian old school hip hop",0.751,0.822,1,-4.533,1,0.164,0.001,0.0022,0.259,0.801,96.967,4
2O5rxPXXEFuvVfvsc85GX3,"5pKCCKE2ajJHZ9KAiaK11H,28ykFujzSxWjvgZ7owaROx","There's A Thug In My Life","Music Of The Sun","Rihanna,J-Status",2005-08-29,198640,48,spotify:user:12132863200,2023-10-10T02:29:34Z,"barbadian pop,pop,urban contemporary",0.572,0.632,0,-7.742,1,0.109,0.00138,0.00000385,0.102,0.572,161.786,4
35Hibmn6fwoYVifZ9TKnWg,"5pKCCKE2ajJHZ9KAiaK11H","Now I Know","Music Of The Sun","Rihanna",2005-08-29,300586,35,spotify:user:12132863200,2023-10-10T02:29:34Z,"barbadian pop,pop,urban contemporary",0.315,0.267,9,-11.355,1,0.0289,0.853,0.0000015,0.204,0.22,104.987,3
1B4iEymNy6FyU2I39ujzVw,"5pKCCKE2ajJHZ9KAiaK11H,6NOvBZrkd83MSD51xkq4on","Pon De Replay - Remix","Music Of The Sun","Rihanna,Elephant Man",2005-08-29,217186,60,spotify:user:12132863200,2023-10-10T02:29:34Z,"barbadian pop,pop,urban contemporary,dancehall,jamaican dancehall,reggae fusion",0.778,0.737,7,-7.861,1,0.251,0.00031,0,0.276,0.582,99.078,4
30cSNer6TV8x2utjULVeQ5,"5pKCCKE2ajJHZ9KAiaK11H","SOS","A Girl Like Me","Rihanna",2006-04-10,238920,79,spotify:user:12132863200,2023-10-10T02:29:37Z,"barbadian pop,pop,urban contemporary",0.677,0.671,7,-4.905,1,0.0361,0.004,0.0000507,0.413,0.527,137.046,4
4iHglWXfdxUzr3th07fcM8,"5pKCCKE2ajJHZ9KAiaK11H","Kisses Don't Lie","A Girl Like Me","Rihanna",2006-04-10,232880,36,spotify:user:12132863200,2023-10-10T02:29:37Z,"barbadian pop,pop,urban contemporary",0.676,0.747,5,-4.926,0,0.118,0.0209,0.0000748,0.152,0.91,77.979,4
13xxBnXOuiBxVxJI458B0i,"5pKCCKE2ajJHZ9KAiaK11H","Unfaithful","A Girl Like Me","Rihanna",2006-04-10,226973,74,spotify:user:12132863200,2023-10-10T02:29:37Z,"barbadian pop,pop,urban contemporary",0.588,0.391,0,-8.607,0,0.0334,0.839,0,0.227,0.349,144.069,4
0EIsxWGPSte4cAHZw5aXr4,"5pKCCKE2ajJHZ9KAiaK11H","We Ride","A Girl Like Me","Rihanna",2006-04-10,236680,64,spotify:user:12132863200,2023-10-10T02:29:37Z,"barbadian pop,pop,urban contemporary",0.394,0.744,5,-5.465,0,0.276,0.00175,0,0.308,0.772,78.696,4
7jP5dRMrHFQZblvBftHhbZ,"5pKCCKE2ajJHZ9KAiaK11H,3NTG9VdIGX3d5oVYHOl6km","Dem Haters","A Girl Like Me","Rihanna,Dwane Husbands",2006-04-10,257866,37,spotify:user:12132863200,2023-10-10T02:29:37Z,"barbadian pop,pop,urban contemporary",0.727,0.594,11,-4.52,0,0.0908,0.0132,0,0.0301,0.467,82.015,4
0KR7jNki49r2qg7o8D2zIB,"5pKCCKE2ajJHZ9KAiaK11H","Final Goodbye","A Girl Like Me","Rihanna",2006-04-10,194200,36,spotify:user:12132863200,2023-10-10T02:29:37Z,"barbadian pop,pop,urban contemporary",0.512,0.463,4,-7.819,0,0.0285,0.0396,0,0.305,0.24,134.011,3
4PgtB6Sul8WDTRZCe5e8St,"5pKCCKE2ajJHZ9KAiaK11H,3Isy6kedDrgPYoTS1dazA9","Break It Off","A Girl Like Me","Rihanna,Sean Paul",2006-04-10,213373,53,spotify:user:12132863200,2023-10-10T02:29:37Z,"barbadian pop,pop,urban contemporary,dance pop,dancehall,pop rap",0.897,0.738,10,-5.314,0,0.228,0.0166,0,0.0573,0.798,133.966,4
2sc6MxpYcfgZHIxIlicbef,"5pKCCKE2ajJHZ9KAiaK11H,28ykFujzSxWjvgZ7owaROx","Crazy Little Thing Called Love","A Girl Like Me","Rihanna,J-Status",2006-04-10,202080,34,spotify:user:12132863200,2023-10-10T02:29:37Z,"barbadian pop,pop,urban contemporary",0.758,0.557,7,-6.223,1,0.112,0.0152,0.00000143,0.108,0.751,79.98,4
1lz9t9I3zArRacD2Pud76x,"5pKCCKE2ajJHZ9KAiaK11H","Selfish Girl","A Girl Like Me","Rihanna",2006-04-10,217173,34,spotify:user:12132863200,2023-10-10T02:29:37Z,"barbadian pop,pop,urban contemporary",0.724,0.643,11,-4.981,0,0.0837,0.0023,0.00714,0.0633,0.737,82.012,4
2vDZwEDKyiaKOsvEQbaRcQ,"5pKCCKE2ajJHZ9KAiaK11H","P.S. (I'm Still Not Over You)","A Girl Like Me","Rihanna",2006-04-10,249906,50,spotify:user:12132863200,2023-10-10T02:29:37Z,"barbadian pop,pop,urban contemporary",0.759,0.407,8,-8.427,0,0.0481,0.0803,0,0.104,0.496,88.081,4
7vtna7uCQMxYUM6sPx0L51,"5pKCCKE2ajJHZ9KAiaK11H","A Girl Like Me","A Girl Like Me","Rihanna",2006-04-10,256000,35,spotify:user:12132863200,2023-10-10T02:29:37Z,"barbadian pop,pop,urban contemporary",0.447,0.574,6,-6.993,1,0.12,0.274,0,0.0777,0.633,82.122,4
60mOfkGcqyS9UaRQsZ6e2C,"5pKCCKE2ajJHZ9KAiaK11H","A Million Miles Away","A Girl Like Me","Rihanna",2006-04-10,249680,37,spotify:user:12132863200,2023-10-10T02:29:37Z,"barbadian pop,pop,urban contemporary",0.566,0.363,2,-7.259,1,0.0285,0.482,0,0.292,0.0609,123.864,4
0CVAvbscJvgDMrCjIYdTUi,"5pKCCKE2ajJHZ9KAiaK11H,7BAaznGSsqcksud4R5ou5z","If It's Lovin' That You Want - Pt. 2","A Girl Like Me","Rihanna,Cory Gunz",2006-04-10,248506,43,spotify:user:12132863200,2023-10-10T02:29:37Z,"barbadian pop,pop,urban contemporary,nyc rap",0.72,0.615,6,-8.224,1,0.161,0.485,0.00000253,0.0829,0.642,96.072,4
60xBX0t9cHVfcn2swgEKOf,"5pKCCKE2ajJHZ9KAiaK11H,0uUlRP8qEQGUKowcF5jFVc,3D2tr87ibnoz28hSYYIcOs","Unfaithful - Tony Moran Club Mix","Unfaithful (Tony Moran Club Mix)","Rihanna,Tony Moran,Warren Rigg",2006-07-17,548946,16,spotify:user:12132863200,2023-10-10T02:29:38Z,"barbadian pop,pop,urban contemporary,circuit,tribal house",0.75,0.845,1,-7.342,1,0.0526,0.0831,0.31,0.084,0.42,130.998,4
2yPoXCs7BSIUrucMdK5PzV,"5pKCCKE2ajJHZ9KAiaK11H,3nFkdlSjzX9mRTtwJOzDYB","Umbrella","Good Girl Gone Bad","Rihanna,JAY-Z",2007-01-01,275986,75,spotify:user:12132863200,2023-10-10T02:29:39Z,"barbadian pop,pop,urban contemporary,east coast hip hop,gangster rap,hip hop,pop rap,rap",0.583,0.829,1,-4.603,1,0.134,0.00864,0,0.0426,0.575,174.028,4
5GTAYFWh8qSQZ6lnfjivSd,"5pKCCKE2ajJHZ9KAiaK11H","Push Up On Me","Good Girl Gone Bad","Rihanna",2007-01-01,195040,30,spotify:user:12132863200,2023-10-10T02:29:39Z,"barbadian pop,pop,urban contemporary",0.791,0.88,1,-5.398,1,0.06,0.0142,0.119,0.033,0.641,119.939,4
