Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7sg9ToL94GAiksETi5GZGz,"7tYKF4w9nC0nq9CsPZTHyP","Ur","Z","SZA",2014-04-08,235769,50,spotify:user:12132863200,2023-11-04T03:26:06Z,"pop,r&b,rap",0.754,0.56,0,-8.01,1,0.0608,0.318,0.131,0.0863,0.355,114.034,4
7GPstnufSTScEaw9dMxO9H,"7tYKF4w9nC0nq9CsPZTHyP,1anyVhU62p31KFi8MEzkbf","Childs Play (feat. Chance the Rapper)","Z","SZA,Chance the Rapper",2014-04-08,216234,69,spotify:user:12132863200,2023-11-04T03:26:06Z,"pop,r&b,rap,chicago rap,conscious hip hop,hip hop,pop rap",0.759,0.342,1,-9.044,0,0.0406,0.775,0,0.112,0.22,99.995,4
3oUSdLtRYOSvXcLMrHctv7,"7tYKF4w9nC0nq9CsPZTHyP","Julia","Z","SZA",2014-04-08,219642,59,spotify:user:12132863200,2023-11-04T03:26:06Z,"pop,r&b,rap",0.666,0.688,0,-7.071,1,0.031,0.00866,0.000009,0.0964,0.433,111.02,4
0Kz9aGVgFvndWkcaiylIt5,"7tYKF4w9nC0nq9CsPZTHyP,6aaMZ3fcfLv4tEbmY7bjRM","Warm Winds (feat. Isaiah Rashad)","Z","SZA,Isaiah Rashad",2014-04-08,350911,56,spotify:user:12132863200,2023-11-04T03:26:06Z,"pop,r&b,rap,hip hop,tennessee hip hop,underground hip hop",0.387,0.505,7,-8.579,1,0.247,0.259,0.000133,0.564,0.158,84.942,4
4N0VFSI2wJu2NzwUuI0sMz,"7tYKF4w9nC0nq9CsPZTHyP","HiiiJack","Z","SZA",2014-04-08,222164,56,spotify:user:12132863200,2023-11-04T03:26:06Z,"pop,r&b,rap",0.682,0.551,8,-8.746,1,0.288,0.221,0.0000223,0.133,0.357,73.988,4
0FclB23LoCgzu0jm9VOPuq,"7tYKF4w9nC0nq9CsPZTHyP","Green Mile","Z","SZA",2014-04-08,214385,45,spotify:user:12132863200,2023-11-04T03:26:06Z,"pop,r&b,rap",0.366,0.63,9,-7.716,0,0.138,0.595,0.571,0.127,0.134,149.595,4
6Aj2H0Z0v0JgnSfPEwCgW0,"7tYKF4w9nC0nq9CsPZTHyP,2YZyLoL8N0Wb9xBt1NhZWg","Babylon (feat. Kendrick Lamar)","Z","SZA,Kendrick Lamar",2014-04-08,234284,59,spotify:user:12132863200,2023-11-04T03:26:06Z,"pop,r&b,rap,conscious hip hop,hip hop,west coast rap",0.51,0.71,5,-6.891,0,0.113,0.629,0,0.0607,0.367,131.891,4
7swGurTfZlwx7mTOE8PpIc,"7tYKF4w9nC0nq9CsPZTHyP","Sweet November","Z","SZA",2014-04-08,243744,60,spotify:user:12132863200,2023-11-04T03:26:06Z,"pop,r&b,rap",0.478,0.551,0,-7.079,0,0.0354,0.532,0.0154,0.288,0.481,108.849,4
3fdqtnqZ7Zax6CIeQWZWN6,"7tYKF4w9nC0nq9CsPZTHyP","Shattered Ring","Z","SZA",2014-04-08,245806,46,spotify:user:12132863200,2023-11-04T03:26:06Z,"pop,r&b,rap",0.396,0.475,4,-9.242,0,0.0303,0.0504,0.0226,0.144,0.0798,160.031,4
2EToRpTwkuy7B0Hi74g7jF,"7tYKF4w9nC0nq9CsPZTHyP","Omega","Z","SZA",2014-04-08,263313,45,spotify:user:12132863200,2023-11-04T03:26:06Z,"pop,r&b,rap",0.581,0.576,4,-11.748,0,0.0671,0.0753,0.00819,0.0684,0.142,124.445,4
4Ni8k94lpdC6gzjXtUdzVw,"7tYKF4w9nC0nq9CsPZTHyP","Drew Barrymore","Drew Barrymore","SZA",2017-01-13,236444,41,spotify:user:12132863200,2023-11-04T03:26:07Z,"pop,r&b,rap",0.544,0.444,7,-9.291,0,0.0642,0.271,0,0.377,0.223,135.32,4
1Iu2xRcZGoVRJ57Jo5BAzZ,"7tYKF4w9nC0nq9CsPZTHyP","Broken Clocks","Broken Clocks","SZA",2017-06-02,231253,43,spotify:user:12132863200,2023-11-04T03:26:14Z,"pop,r&b,rap",0.692,0.684,6,-7.364,1,0.155,0.131,0,0.156,0.406,112.912,4
5wTVNpi5WDByxBgKgUE6MU,"7tYKF4w9nC0nq9CsPZTHyP","Supermodel","Ctrl","SZA",2017-06-09,181120,75,spotify:user:12132863200,2023-11-04T03:26:16Z,"pop,r&b,rap",0.613,0.442,6,-8.874,1,0.288,0.651,0,0.26,0.252,119.737,5
0q75NwOoFiARAVp4EXU4Bs,"7tYKF4w9nC0nq9CsPZTHyP,0Y5tJX1MQlPlqiwlOH1tJY","Love Galore (feat. Travis Scott)","Ctrl","SZA,Travis Scott",2017-06-09,275080,80,spotify:user:12132863200,2023-11-04T03:26:16Z,"pop,r&b,rap,hip hop,slap house",0.795,0.594,0,-6.2,1,0.0748,0.112,0,0.162,0.409,135.002,4
593W4qZOwwdqF6YnimJjL6,"7tYKF4w9nC0nq9CsPZTHyP,2YZyLoL8N0Wb9xBt1NhZWg","Doves In The Wind (feat. Kendrick Lamar)","Ctrl","SZA,Kendrick Lamar",2017-06-09,266080,73,spotify:user:12132863200,2023-11-04T03:26:16Z,"pop,r&b,rap,conscious hip hop,hip hop,west coast rap",0.693,0.713,10,-4.489,0,0.351,0.343,0,0.102,0.615,137.335,4
06u5LrUpbosQlQ1QJFhPpG,"7tYKF4w9nC0nq9CsPZTHyP","Drew Barrymore","Ctrl","SZA",2017-06-09,231400,75,spotify:user:12132863200,2023-11-04T03:26:16Z,"pop,r&b,rap",0.577,0.523,0,-5.538,0,0.0429,0.491,0,0.147,0.29,134.93,4
5yvhdo8FXbBsIllxv2Rr94,"7tYKF4w9nC0nq9CsPZTHyP","Prom","Ctrl","SZA",2017-06-09,196133,71,spotify:user:12132863200,2023-11-04T03:26:16Z,"pop,r&b,rap",0.805,0.702,1,-4.877,1,0.0887,0.0639,0,0.123,0.225,120.048,4
6gU9OKjOE7ghfEd55oRO57,"7tYKF4w9nC0nq9CsPZTHyP","The Weekend","Ctrl","SZA",2017-06-09,272186,79,spotify:user:12132863200,2023-11-04T03:26:16Z,"pop,r&b,rap",0.4,0.366,8,-9.405,0,0.0597,0.242,0,0.126,0.161,73.313,3
