Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2ye9iWj5V4g6k6HFeTTAKa,"1Xyo4u8uXC1ZmMpatF05PJ","High For This - Original","House Of Balloons (Original)","The Weeknd",2011-03-21,249102,68,spotify:user:12132863200,2023-10-09T20:53:51Z,"canadian contemporary r&b,canadian pop,pop",0.466,0.403,4,-10.441,0,0.0502,0.59,0.0000951,0.1,0.0967,75.033,4
4Yw8TyBm9J8cpy2guHUYog,"1Xyo4u8uXC1ZmMpatF05PJ","What You Need - Original","House Of Balloons (Original)","The Weeknd",2011-03-21,206421,72,spotify:user:12132863200,2023-10-09T20:53:51Z,"canadian contemporary r&b,canadian pop,pop",0.638,0.335,7,-10.522,0,0.0854,0.505,0.0139,0.116,0.0608,133.853,4
2r7BPog74oaTG5shNYiUnV,"1Xyo4u8uXC1ZmMpatF05PJ","House Of Balloons / Glass Table Girls - Original","House Of Balloons (Original)","The Weeknd",2011-03-21,407315,74,spotify:user:12132863200,2023-10-09T20:53:51Z,"canadian contemporary r&b,canadian pop,pop",0.662,0.511,0,-8.419,1,0.0342,0.00237,0.0036,0.275,0.228,88.989,4
4jBfUB4kQJCWOrjGLQqhO0,"1Xyo4u8uXC1ZmMpatF05PJ","The Morning - Original","House Of Balloons (Original)","The Weeknd",2011-03-21,314109,74,spotify:user:12132863200,2023-10-09T20:53:51Z,"canadian contemporary r&b,canadian pop,pop",0.682,0.51,6,-9.987,0,0.0441,0.143,0.00000446,0.0797,0.191,120.097,4
00aqkszH1FdUiJJWvX6iEl,"1Xyo4u8uXC1ZmMpatF05PJ","Wicked Games - Original","House Of Balloons (Original)","The Weeknd",2011-03-21,325305,72,spotify:user:12132863200,2023-10-09T20:53:51Z,"canadian contemporary r&b,canadian pop,pop",0.606,0.57,9,-6.684,1,0.032,0.0217,0.00000847,0.301,0.258,114.033,4
0GROiXm03OrMC5ltXLhGIu,"1Xyo4u8uXC1ZmMpatF05PJ","The Party & The After Party - Original","House Of Balloons (Original)","The Weeknd",2011-03-21,459659,70,spotify:user:12132863200,2023-10-09T20:53:51Z,"canadian contemporary r&b,canadian pop,pop",0.645,0.58,5,-9.527,0,0.0406,0.22,0,0.0878,0.163,101.733,4
3mHO1J6kfiArjBo1zhLFGP,"1Xyo4u8uXC1ZmMpatF05PJ","Coming Down - Original","House Of Balloons (Original)","The Weeknd",2011-03-21,295435,68,spotify:user:12132863200,2023-10-09T20:53:51Z,"canadian contemporary r&b,canadian pop,pop",0.694,0.649,2,-5.262,0,0.0353,0.303,0.0000241,0.206,0.344,120.973,4
2yBz1hupoOBncorzuKcJ2z,"1Xyo4u8uXC1ZmMpatF05PJ","Loft Music - Original","House Of Balloons (Original)","The Weeknd",2011-03-21,363057,60,spotify:user:12132863200,2023-10-09T20:53:51Z,"canadian contemporary r&b,canadian pop,pop",0.257,0.443,6,-9.998,0,0.0921,0.49,0.00049,0.219,0.112,77.528,4
6tjsbysvZh8Pq8DZA5ldrn,"1Xyo4u8uXC1ZmMpatF05PJ","The Knowing - Original","House Of Balloons (Original)","The Weeknd",2011-03-21,342828,58,spotify:user:12132863200,2023-10-09T20:53:51Z,"canadian contemporary r&b,canadian pop,pop",0.454,0.668,6,-5.821,0,0.03,0.205,0.000841,0.0938,0.168,85.994,4
5JpSjNcjuP8L9QrYmv3xcn,"1Xyo4u8uXC1ZmMpatF05PJ","Lonely Star - Original","Thursday (Original)","The Weeknd",2011-08-18,349032,51,spotify:user:12132863200,2023-10-09T20:54:14Z,"canadian contemporary r&b,canadian pop,pop",0.483,0.621,2,-8.602,1,0.0393,0.267,0.0284,0.472,0.172,158.001,4
